entry,at,order
"The player ""Deckhole @ 3URETjsK60"" passed the room ownership to ""K Godel @ TN11URmFSv"".",2023-01-21T08:32:07.584Z,167428992758400
"The player ""Levi @ juhrt5sgNm"" stand up with the stack of 90.89.",2023-01-21T08:06:06.918Z,167428836691800
"The player ""Mag Kirwin @ e4MtM50XXb"" stand up with the stack of 136.50.",2023-01-21T08:05:06.601Z,167428830660100
"-- ending hand #369 --",2023-01-21T08:05:00.662Z,167428830066202
"""Mag Kirwin @ e4MtM50XXb"" collected 0.50 from pot",2023-01-21T08:05:00.662Z,167428830066201
"Uncalled bet of 0.50 returned to ""Mag Kirwin @ e4MtM50XXb""",2023-01-21T08:05:00.662Z,167428830066200
"""Levi @ juhrt5sgNm"" folds",2023-01-21T08:04:59.837Z,167428829983700
"""Mag Kirwin @ e4MtM50XXb"" raises to 0.75",2023-01-21T08:04:58.376Z,167428829837600
"""Levi @ juhrt5sgNm"" posts a big blind of 0.25",2023-01-21T08:04:54.588Z,167428829458805
"""Mag Kirwin @ e4MtM50XXb"" posts a small blind of 0.10",2023-01-21T08:04:54.588Z,167428829458804
"Player stacks: #4 ""Levi @ juhrt5sgNm"" (91.14) | #5 ""Mag Kirwin @ e4MtM50XXb"" (136.25)",2023-01-21T08:04:54.588Z,167428829458801
"-- starting hand #369 (id: lbuftd1dfp95)  (No Limit Texas Hold'em) (dealer: ""Mag Kirwin @ e4MtM50XXb"") --",2023-01-21T08:04:54.588Z,167428829458800
"-- ending hand #368 --",2023-01-21T08:04:51.657Z,167428829165702
"""Levi @ juhrt5sgNm"" collected 0.50 from pot",2023-01-21T08:04:51.657Z,167428829165701
"Uncalled bet of 0.50 returned to ""Levi @ juhrt5sgNm""",2023-01-21T08:04:51.657Z,167428829165700
"""Mag Kirwin @ e4MtM50XXb"" folds",2023-01-21T08:04:50.815Z,167428829081500
"""Levi @ juhrt5sgNm"" raises to 0.75",2023-01-21T08:04:48.871Z,167428828887100
"""Mag Kirwin @ e4MtM50XXb"" posts a big blind of 0.25",2023-01-21T08:04:44.687Z,167428828468705
"""Levi @ juhrt5sgNm"" posts a small blind of 0.10",2023-01-21T08:04:44.687Z,167428828468704
"Player stacks: #4 ""Levi @ juhrt5sgNm"" (90.89) | #5 ""Mag Kirwin @ e4MtM50XXb"" (136.50)",2023-01-21T08:04:44.687Z,167428828468701
"-- starting hand #368 (id: uvidoedjwiam)  (No Limit Texas Hold'em) (dealer: ""Levi @ juhrt5sgNm"") --",2023-01-21T08:04:44.687Z,167428828468700
"-- ending hand #367 --",2023-01-21T08:04:41.776Z,167428828177602
"""Mag Kirwin @ e4MtM50XXb"" collected 0.50 from pot",2023-01-21T08:04:41.776Z,167428828177601
"Uncalled bet of 0.50 returned to ""Mag Kirwin @ e4MtM50XXb""",2023-01-21T08:04:41.776Z,167428828177600
"""Levi @ juhrt5sgNm"" folds",2023-01-21T08:04:40.921Z,167428828092100
"""Mag Kirwin @ e4MtM50XXb"" raises to 0.75",2023-01-21T08:04:39.292Z,167428827929200
"""Levi @ juhrt5sgNm"" posts a big blind of 0.25",2023-01-21T08:04:30.173Z,167428827017305
"""Mag Kirwin @ e4MtM50XXb"" posts a small blind of 0.10",2023-01-21T08:04:30.173Z,167428827017304
"Player stacks: #4 ""Levi @ juhrt5sgNm"" (91.14) | #5 ""Mag Kirwin @ e4MtM50XXb"" (136.25)",2023-01-21T08:04:30.173Z,167428827017301
"-- starting hand #367 (id: nglgcpymzsbz)  (No Limit Texas Hold'em) (dealer: ""Mag Kirwin @ e4MtM50XXb"") --",2023-01-21T08:04:30.173Z,167428827017300
"-- ending hand #366 --",2023-01-21T08:04:27.239Z,167428826723902
"""Levi @ juhrt5sgNm"" collected 0.50 from pot",2023-01-21T08:04:27.239Z,167428826723901
"Uncalled bet of 0.50 returned to ""Levi @ juhrt5sgNm""",2023-01-21T08:04:27.239Z,167428826723900
"""Mag Kirwin @ e4MtM50XXb"" folds",2023-01-21T08:04:26.378Z,167428826637800
"""Levi @ juhrt5sgNm"" raises to 0.75",2023-01-21T08:04:23.079Z,167428826307900
"""Mag Kirwin @ e4MtM50XXb"" posts a big blind of 0.25",2023-01-21T08:04:18.963Z,167428825896305
"""Levi @ juhrt5sgNm"" posts a small blind of 0.10",2023-01-21T08:04:18.963Z,167428825896304
"Player stacks: #4 ""Levi @ juhrt5sgNm"" (90.89) | #5 ""Mag Kirwin @ e4MtM50XXb"" (136.50)",2023-01-21T08:04:18.963Z,167428825896301
"-- starting hand #366 (id: vqjnd9cstfnj)  (No Limit Texas Hold'em) (dealer: ""Levi @ juhrt5sgNm"") --",2023-01-21T08:04:18.963Z,167428825896300
"-- ending hand #365 --",2023-01-21T08:04:12.957Z,167428825295703
"""Mag Kirwin @ e4MtM50XXb"" shows a 9♣, 9♦.",2023-01-21T08:04:12.957Z,167428825295702
"""Levi @ juhrt5sgNm"" collected 9.00 from pot with Pair, J's (combination: J♥, J♦, A♥, Q♣, 10♠)",2023-01-21T08:04:12.957Z,167428825295701
"""Levi @ juhrt5sgNm"" shows a J♥, J♦.",2023-01-21T08:04:12.957Z,167428825295700
"""Mag Kirwin @ e4MtM50XXb"" checks",2023-01-21T08:04:12.082Z,167428825208200
"""Levi @ juhrt5sgNm"" checks",2023-01-21T08:04:10.416Z,167428825041600
"River: 2♥, Q♣, 8♦, 10♠ [A♥]",2023-01-21T08:04:07.355Z,167428824735500
"""Mag Kirwin @ e4MtM50XXb"" checks",2023-01-21T08:04:06.547Z,167428824654700
"""Levi @ juhrt5sgNm"" checks",2023-01-21T08:04:03.762Z,167428824376200
"Turn: 2♥, Q♣, 8♦ [10♠]",2023-01-21T08:03:59.989Z,167428823998900
