entry,at,order
"The player ""lynn @ qRLMfzBQ8s"" quits the game with a stack of 118.11.",2022-11-06T05:19:03.026Z,166771194302600
"The player ""K Godel @ TN11URmFSv"" quits the game with a stack of 0.20.",2022-11-06T05:18:59.107Z,166771193910701
"The player ""lynn @ qRLMfzBQ8s"" stand up with the stack of 118.11.",2022-11-06T05:18:59.107Z,166771193910700
"-- ending hand #245 --",2022-11-06T05:18:56.193Z,166771193619302
"""Deckhole @ 3URETjsK60"" collected 0.50 from pot",2022-11-06T05:18:56.193Z,166771193619301
"Uncalled bet of 0.25 returned to ""Deckhole @ 3URETjsK60""",2022-11-06T05:18:56.193Z,166771193619300
"""lynn @ qRLMfzBQ8s"" folds",2022-11-06T05:18:55.362Z,166771193536200
"""Deckhole @ 3URETjsK60"" bets 0.25",2022-11-06T05:18:54.408Z,166771193440800
"""lynn @ qRLMfzBQ8s"" checks",2022-11-06T05:18:27.788Z,166771190778800
"Flop:  [J♦, 9♦, Q♦]",2022-11-06T05:18:23.074Z,166771190307400
"""lynn @ qRLMfzBQ8s"" checks",2022-11-06T05:18:22.231Z,166771190223100
"""Deckhole @ 3URETjsK60"" calls 0.25",2022-11-06T05:18:21.331Z,166771190133100
"""lynn @ qRLMfzBQ8s"" posts a big blind of 0.25",2022-11-06T05:17:49.961Z,166771186996105
"""Deckhole @ 3URETjsK60"" posts a small blind of 0.10",2022-11-06T05:17:49.961Z,166771186996104
"Player stacks: #1 ""Deckhole @ 3URETjsK60"" (192.00) | #2 ""lynn @ qRLMfzBQ8s"" (118.36)",2022-11-06T05:17:49.961Z,166771186996101
"-- starting hand #245  (Pot Limit Omaha Hi) (dealer: ""Deckhole @ 3URETjsK60"") --",2022-11-06T05:17:49.961Z,166771186996100
"-- ending hand #244 --",2022-11-06T05:17:46.968Z,166771186696802
"""Deckhole @ 3URETjsK60"" collected 0.20 from pot",2022-11-06T05:17:46.968Z,166771186696801
"Uncalled bet of 0.15 returned to ""Deckhole @ 3URETjsK60""",2022-11-06T05:17:46.968Z,166771186696800
"""lynn @ qRLMfzBQ8s"" folds",2022-11-06T05:17:46.138Z,166771186613800
"""Deckhole @ 3URETjsK60"" posts a big blind of 0.25",2022-11-06T05:17:32.750Z,166771185275005
"""lynn @ qRLMfzBQ8s"" posts a small blind of 0.10",2022-11-06T05:17:32.750Z,166771185275004
"Player stacks: #1 ""Deckhole @ 3URETjsK60"" (191.90) | #2 ""lynn @ qRLMfzBQ8s"" (118.46)",2022-11-06T05:17:32.750Z,166771185275001
"-- starting hand #244  (Pot Limit Omaha Hi) (dealer: ""lynn @ qRLMfzBQ8s"") --",2022-11-06T05:17:32.750Z,166771185275000
"-- ending hand #243 --",2022-11-06T05:17:29.809Z,166771184980902
"""Deckhole @ 3URETjsK60"" collected 3.00 from pot",2022-11-06T05:17:29.809Z,166771184980901
"Uncalled bet of 3.00 returned to ""Deckhole @ 3URETjsK60""",2022-11-06T05:17:29.809Z,166771184980900
"""lynn @ qRLMfzBQ8s"" folds",2022-11-06T05:17:28.964Z,166771184896400
"""Deckhole @ 3URETjsK60"" raises to 3.75",2022-11-06T05:17:26.459Z,166771184645900
"""lynn @ qRLMfzBQ8s"" bets 0.75",2022-11-06T05:17:23.397Z,166771184339700
"River: A♥, 8♥, 4♦, 8♦ [8♣]",2022-11-06T05:17:15.538Z,166771183553800
"""Deckhole @ 3URETjsK60"" checks",2022-11-06T05:17:14.660Z,166771183466000
"""lynn @ qRLMfzBQ8s"" checks",2022-11-06T05:17:09.242Z,166771182924200
"Turn: A♥, 8♥, 4♦ [8♦]",2022-11-06T05:17:02.106Z,166771182210600
"""Deckhole @ 3URETjsK60"" checks",2022-11-06T05:17:01.206Z,166771182120600
"""lynn @ qRLMfzBQ8s"" checks",2022-11-06T05:16:59.502Z,166771181950200
"Flop:  [A♥, 8♥, 4♦]",2022-11-06T05:16:51.168Z,166771181116800
"""lynn @ qRLMfzBQ8s"" calls 0.75",2022-11-06T05:16:50.321Z,166771181032100
"""Deckhole @ 3URETjsK60"" raises to 0.75",2022-11-06T05:16:48.571Z,166771180857100
"""lynn @ qRLMfzBQ8s"" posts a big blind of 0.25",2022-11-06T05:16:41.882Z,166771180188206
"""Deckhole @ 3URETjsK60"" posts a small blind of 0.10",2022-11-06T05:16:41.882Z,166771180188205
"Player stacks: #1 ""Deckhole @ 3URETjsK60"" (190.40) | #2 ""lynn @ qRLMfzBQ8s"" (119.96)",2022-11-06T05:16:41.882Z,166771180188202
"-- starting hand #243  (Pot Limit Omaha Hi) (dealer: ""Deckhole @ 3URETjsK60"") --",2022-11-06T05:16:41.882Z,166771180188201
"The player ""scott @ nj_yF1nN56"" stand up with the stack of 277.66.",2022-11-06T05:16:41.882Z,166771180188200
"-- ending hand #242 --",2022-11-06T05:16:35.767Z,166771179576703
"""Deckhole @ 3URETjsK60"" shows a K♠, K♣, J♣, Q♦.",2022-11-06T05:16:35.767Z,166771179576702
"""scott @ nj_yF1nN56"" collected 14.61 from pot with Straight (combination: 7♥, 6♠, 5♠, 4♣, 3♥)",2022-11-06T05:16:35.767Z,166771179576701
"""scott @ nj_yF1nN56"" shows a 3♥, 5♠, J♦, 4♦.",2022-11-06T05:16:35.767Z,166771179576700
"""scott @ nj_yF1nN56"" checks",2022-11-06T05:16:34.893Z,166771179489300
"""Deckhole @ 3URETjsK60"" checks",2022-11-06T05:16:25.111Z,166771178511100
"River: Q♥, 4♣, 6♠, 7♥ [4♥]",2022-11-06T05:16:18.677Z,166771177867700
"""Deckhole @ 3URETjsK60"" calls 4.38",2022-11-06T05:16:17.791Z,166771177779100
"""scott @ nj_yF1nN56"" bets 4.38",2022-11-06T05:16:15.963Z,166771177596300
"""Deckhole @ 3URETjsK60"" checks",2022-11-06T05:16:10.773Z,166771177077300
"Turn: Q♥, 4♣, 6♠ [7♥]",2022-11-06T05:16:07.951Z,166771176795100
"""scott @ nj_yF1nN56"" checks",2022-11-06T05:16:07.081Z,166771176708100
"""Deckhole @ 3URETjsK60"" checks",2022-11-06T05:16:01.820Z,166771176182000
"Flop:  [Q♥, 4♣, 6♠]",2022-11-06T05:15:58.278Z,166771175827800
