entry,at,order
"The player ""K Godel @ TN11URmFSv"" stand up with the stack of 18.86.",2022-08-14T05:43:50.120Z,166045583012000
"The player ""Jean @ QLHzuQRo1C"" stand up with the stack of 2.79.",2022-08-14T05:43:46.984Z,166045582698400
"-- ending hand #221 --",2022-08-14T05:43:40.976Z,166045582097602
"""Jean @ QLHzuQRo1C"" collected 0.60 from pot with Pair, A's (combination: A♠, A♦, K♦, J♣, 9♠)",2022-08-14T05:43:40.976Z,166045582097601
"""Jean @ QLHzuQRo1C"" shows a J♣, K♦.",2022-08-14T05:43:40.976Z,166045582097600
"""Jean @ QLHzuQRo1C"" checks",2022-08-14T05:43:40.151Z,166045582015100
"""K Godel @ TN11URmFSv"" checks",2022-08-14T05:43:35.839Z,166045581583900
"River: 9♠, 6♣, 8♠, A♠ [A♦]",2022-08-14T05:43:33.983Z,166045581398300
"""Jean @ QLHzuQRo1C"" checks",2022-08-14T05:43:33.171Z,166045581317100
"""K Godel @ TN11URmFSv"" checks",2022-08-14T05:43:31.960Z,166045581196000
"Turn: 9♠, 6♣, 8♠ [A♠]",2022-08-14T05:43:07.478Z,166045578747800
"""Jean @ QLHzuQRo1C"" checks",2022-08-14T05:43:06.565Z,166045578656500
"""K Godel @ TN11URmFSv"" checks",2022-08-14T05:43:05.759Z,166045578575900
"Flop:  [9♠, 6♣, 8♠]",2022-08-14T05:43:02.763Z,166045578276300
"""K Godel @ TN11URmFSv"" calls 0.30",2022-08-14T05:43:01.929Z,166045578192900
"""Jean @ QLHzuQRo1C"" raises to 0.30",2022-08-14T05:42:57.184Z,166045577718400
"""K Godel @ TN11URmFSv"" posts a big blind of 0.10",2022-08-14T05:42:49.871Z,166045576987106
"""Jean @ QLHzuQRo1C"" posts a small blind of 0.05",2022-08-14T05:42:49.871Z,166045576987105
"Your hand is Q♣, J♦",2022-08-14T05:42:49.871Z,166045576987104
"Player stacks: #2 ""Jean @ QLHzuQRo1C"" (2.49) | #6 ""K Godel @ TN11URmFSv"" (19.16)",2022-08-14T05:42:49.871Z,166045576987102
"-- starting hand #221  (No Limit Texas Hold'em) (dealer: ""Jean @ QLHzuQRo1C"") --",2022-08-14T05:42:49.871Z,166045576987101
"The player ""ClaytonMcLovin @ qRLMfzBQ8s"" stand up with the stack of 34.25.",2022-08-14T05:42:49.871Z,166045576987100
"-- ending hand #220 --",2022-08-14T05:42:46.952Z,166045576695202
"""K Godel @ TN11URmFSv"" collected 0.10 from pot",2022-08-14T05:42:46.952Z,166045576695201
"Uncalled bet of 0.05 returned to ""K Godel @ TN11URmFSv""",2022-08-14T05:42:46.952Z,166045576695200
"""Jean @ QLHzuQRo1C"" folds",2022-08-14T05:42:46.114Z,166045576611400
"""ClaytonMcLovin @ qRLMfzBQ8s"" folds",2022-08-14T05:42:15.240Z,166045573524000
"""K Godel @ TN11URmFSv"" posts a big blind of 0.10",2022-08-14T05:42:13.635Z,166045573363506
