entry,at,order
"The player ""K Godel @ TN11URmFSv"" quits the game with a stack of 80.54.",2022-08-28T05:48:08.015Z,166166568801500
"The player ""Mag Kirwin @ e4MtM50XXb"" quits the game with a stack of 156.98.",2022-08-28T05:47:47.319Z,166166566731901
"The admin ""K Godel @ TN11URmFSv"" enqueued the removal of the player ""Mag Kirwin @ e4MtM50XXb"".",2022-08-28T05:47:47.319Z,166166566731900
"The player ""Deckhole @ 3URETjsK60"" quits the game with a stack of 154.13.",2022-08-28T05:47:39.611Z,166166565961101
"The admin ""K Godel @ TN11URmFSv"" enqueued the removal of the player ""Deckhole @ 3URETjsK60"".",2022-08-28T05:47:39.611Z,166166565961100
"The player ""lynn @ LbqJGJ3sQl"" quits the game with a stack of 7.23.",2022-08-28T05:33:25.291Z,166166480529100
"The player ""Deckhole @ 3URETjsK60"" stand up with the stack of 154.13.",2022-08-28T05:32:30.752Z,166166475075200
"The player ""Deckhole @ 3URETjsK60"" sit back with the stack of 154.13.",2022-08-28T05:32:25.217Z,166166474521700
"The player ""lynn @ LbqJGJ3sQl"" stand up with the stack of 7.23.",2022-08-28T05:32:24.875Z,166166474487501
"The player ""Mag Kirwin @ e4MtM50XXb"" stand up with the stack of 156.98.",2022-08-28T05:32:24.875Z,166166474487500
"-- ending hand #232 --",2022-08-28T05:32:21.872Z,166166474187202
"""lynn @ LbqJGJ3sQl"" collected 0.20 from pot",2022-08-28T05:32:21.872Z,166166474187201
"Uncalled bet of 0.15 returned to ""lynn @ LbqJGJ3sQl""",2022-08-28T05:32:21.872Z,166166474187200
"""Mag Kirwin @ e4MtM50XXb"" folds",2022-08-28T05:32:21.007Z,166166474100700
"""lynn @ LbqJGJ3sQl"" posts a big blind of 0.25",2022-08-28T05:31:56.657Z,166166471665705
"""Mag Kirwin @ e4MtM50XXb"" posts a small blind of 0.10",2022-08-28T05:31:56.657Z,166166471665704
"Player stacks: #3 ""Mag Kirwin @ e4MtM50XXb"" (157.08) | #10 ""lynn @ LbqJGJ3sQl"" (7.13)",2022-08-28T05:31:56.657Z,166166471665701
"-- starting hand #232  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""Mag Kirwin @ e4MtM50XXb"") --",2022-08-28T05:31:56.657Z,166166471665700
"-- ending hand #231 --",2022-08-28T05:31:53.664Z,166166471366402
"""Mag Kirwin @ e4MtM50XXb"" collected 0.20 from pot",2022-08-28T05:31:53.664Z,166166471366401
