entry,at,order
"The player ""Deckhole @ 3URETjsK60"" quits the game with a stack of 0.00.",2022-10-17T03:52:56.226Z,166597877622601
"The player ""lynn @ YMhIHFu1Cm"" stand up with the stack of 15.12.",2022-10-17T03:52:56.226Z,166597877622600
"-- ending hand #253 --",2022-10-17T03:52:47.215Z,166597876721501
"""Malarkey @ Ia-cNlUwV8"" collected 0.27 from pot with Three of a Kind (combination: 6♣, 6♥, 6♦, K♠, 7♠)",2022-10-17T03:52:47.215Z,166597876721500
"River: Q♣, 6♥, 6♦, 8♣ [K♠]",2022-10-17T03:52:43.195Z,166597876319500
"Turn: Q♣, 6♥, 6♦ [8♣]",2022-10-17T03:52:39.095Z,166597875909500
"""Deckhole @ 3URETjsK60"" shows a 5♠, 9♠, 9♥, A♦.",2022-10-17T03:52:35.087Z,166597875508702
"""Malarkey @ Ia-cNlUwV8"" shows a 3♠, 2♦, 7♠, 6♣.",2022-10-17T03:52:35.087Z,166597875508701
"Uncalled bet of 0.27 returned to ""Malarkey @ Ia-cNlUwV8""",2022-10-17T03:52:35.087Z,166597875508700
"Some players choose to not run it twice.",2022-10-17T03:52:34.204Z,166597875420401
"""Malarkey @ Ia-cNlUwV8"" chooses to not run it twice.",2022-10-17T03:52:34.204Z,166597875420400
"Remaining players decide whether to run it twice.",2022-10-17T03:52:34.117Z,166597875411701
"""lynn @ YMhIHFu1Cm"" folds",2022-10-17T03:52:34.117Z,166597875411700
"""Malarkey @ Ia-cNlUwV8"" bets 0.27",2022-10-17T03:52:31.360Z,166597875136000
"""lynn @ YMhIHFu1Cm"" checks",2022-10-17T03:52:28.126Z,166597874812600
"Flop:  [Q♣, 6♥, 6♦]",2022-10-17T03:52:25.787Z,166597874578700
"""lynn @ YMhIHFu1Cm"" calls 0.09",2022-10-17T03:52:24.933Z,166597874493300
"""Malarkey @ Ia-cNlUwV8"" calls 0.09",2022-10-17T03:52:19.699Z,166597873969900
"""Deckhole @ 3URETjsK60"" raises to 0.09 and go all in",2022-10-17T03:52:15.524Z,166597873552400
"""lynn @ YMhIHFu1Cm"" calls 0.07",2022-10-17T03:52:10.115Z,166597873011500
"""Malarkey @ Ia-cNlUwV8"" raises to 0.07",2022-10-17T03:52:03.381Z,166597872338100
"""Deckhole @ 3URETjsK60"" posts a big blind of 0.02",2022-10-17T03:51:59.977Z,166597871997706
"""lynn @ YMhIHFu1Cm"" posts a small blind of 0.01",2022-10-17T03:51:59.977Z,166597871997705
"Player stacks: #3 ""Malarkey @ Ia-cNlUwV8"" (16.23) | #5 ""lynn @ YMhIHFu1Cm"" (15.21) | #10 ""Deckhole @ 3URETjsK60"" (0.09)",2022-10-17T03:51:59.977Z,166597871997701
"-- starting hand #253  (Pot Limit Omaha Hi) (dealer: ""Malarkey @ Ia-cNlUwV8"") --",2022-10-17T03:51:59.977Z,166597871997700
"""Deckhole @ 3URETjsK60"" shows a Q♣, 4♥, J♠, Q♦.",2022-10-17T03:51:53.901Z,166597871390100
"-- ending hand #252 --",2022-10-17T03:51:50.771Z,166597871077102
"""Malarkey @ Ia-cNlUwV8"" collected 1.44 from pot with Two Pair (combination: J♥, J♦, 9♥, 9♣, 7♥)",2022-10-17T03:51:50.771Z,166597871077101
"""Malarkey @ Ia-cNlUwV8"" shows a 9♥, J♥, 6♠, 2♦.",2022-10-17T03:51:50.771Z,166597871077100
"""Deckhole @ 3URETjsK60"" checks",2022-10-17T03:51:49.959Z,166597870995900
"""Malarkey @ Ia-cNlUwV8"" checks",2022-10-17T03:51:42.674Z,166597870267400
"River: J♦, 9♣, 4♦, 5♠ [7♥]",2022-10-17T03:51:37.565Z,166597869756500
"""Malarkey @ Ia-cNlUwV8"" calls 0.48",2022-10-17T03:51:36.742Z,166597869674200
"""Deckhole @ 3URETjsK60"" bets 0.48",2022-10-17T03:51:35.298Z,166597869529800
"""Malarkey @ Ia-cNlUwV8"" checks",2022-10-17T03:51:32.027Z,166597869202700
