entry,at,order
"The player ""K Godel @ TN11URmFSv"" quits the game with a stack of 51.93.",2022-08-20T05:02:54.656Z,166097177465600
"The player ""Jean @ QLHzuQRo1C"" quits the game with a stack of 16.88.",2022-08-20T05:02:43.040Z,166097176304001
"The admin ""K Godel @ TN11URmFSv"" enqueued the removal of the player ""Jean @ QLHzuQRo1C"".",2022-08-20T05:02:43.040Z,166097176304000
"The player ""Deckhole @ 3URETjsK60"" quits the game with a stack of 45.83.",2022-08-20T05:02:37.958Z,166097175795801
"The admin ""K Godel @ TN11URmFSv"" enqueued the removal of the player ""Deckhole @ 3URETjsK60"".",2022-08-20T05:02:37.958Z,166097175795800
"The player ""Jean @ QLHzuQRo1C"" stand up with the stack of 16.88.",2022-08-20T04:40:40.545Z,166097044054500
"-- ending hand #70 --",2022-08-20T04:40:37.624Z,166097043762402
"""K Godel @ TN11URmFSv"" collected 0.50 from pot",2022-08-20T04:40:37.624Z,166097043762401
"Uncalled bet of 0.50 returned to ""K Godel @ TN11URmFSv""",2022-08-20T04:40:37.624Z,166097043762400
"""Jean @ QLHzuQRo1C"" folds",2022-08-20T04:40:36.735Z,166097043673500
"""K Godel @ TN11URmFSv"" raises to 0.75",2022-08-20T04:40:35.887Z,166097043588700
"""Jean @ QLHzuQRo1C"" posts a big blind of 0.25",2022-08-20T04:40:26.727Z,166097042672705
"""K Godel @ TN11URmFSv"" posts a small blind of 0.10",2022-08-20T04:40:26.727Z,166097042672704
"Your hand is J♥, 3♣, 6♥, 10♥",2022-08-20T04:40:26.727Z,166097042672702
"Player stacks: #1 ""K Godel @ TN11URmFSv"" (51.68) | #10 ""Jean @ QLHzuQRo1C"" (17.13)",2022-08-20T04:40:26.727Z,166097042672701
"-- starting hand #70  (Pot Limit Omaha Hi) (dealer: ""K Godel @ TN11URmFSv"") --",2022-08-20T04:40:26.727Z,166097042672700
"-- ending hand #69 --",2022-08-20T04:40:23.729Z,166097042372902
"""K Godel @ TN11URmFSv"" collected 0.20 from pot",2022-08-20T04:40:23.729Z,166097042372901
"Uncalled bet of 0.15 returned to ""K Godel @ TN11URmFSv""",2022-08-20T04:40:23.729Z,166097042372900
"""Jean @ QLHzuQRo1C"" folds",2022-08-20T04:40:22.870Z,166097042287000
"""K Godel @ TN11URmFSv"" posts a big blind of 0.25",2022-08-20T04:40:12.926Z,166097041292606
"""Jean @ QLHzuQRo1C"" posts a small blind of 0.10",2022-08-20T04:40:12.926Z,166097041292605
