entry,at,order
"The player ""K Godel @ Di5cxDUTF9"" quits the game with a stack of 5.21.",2022-07-18T04:29:13.674Z,165811855367400
"The player ""jean @ QLHzuQRo1C"" quits the game with a stack of 6.24.",2022-07-18T04:29:02.593Z,165811854259301
"The admin ""K Godel @ Di5cxDUTF9"" enqueued the removal of the player ""jean @ QLHzuQRo1C"".",2022-07-18T04:29:02.593Z,165811854259300
"The player ""Ball & Order @ d8oU9NBPet"" quits the game with a stack of 1.99.",2022-07-18T04:28:54.823Z,165811853482301
"The admin ""K Godel @ Di5cxDUTF9"" enqueued the removal of the player ""Ball & Order @ d8oU9NBPet"".",2022-07-18T04:28:54.823Z,165811853482300
"The player ""Poindexter @ _yf6aQFJyI"" quits the game with a stack of 3.82.",2022-07-18T04:28:42.559Z,165811852255901
"The admin ""K Godel @ Di5cxDUTF9"" enqueued the removal of the player ""Poindexter @ _yf6aQFJyI"".",2022-07-18T04:28:42.559Z,165811852255900
"The player ""K Godel @ Di5cxDUTF9"" sit back with the stack of 5.21.",2022-07-18T04:28:29.285Z,165811850928500
"The player ""K Godel @ Di5cxDUTF9"" stand up with the stack of 5.21.",2022-07-18T04:23:24.048Z,165811820404800
"The player ""Ball & Order @ d8oU9NBPet"" stand up with the stack of 1.99.",2022-07-18T04:23:21.822Z,165811820182200
"-- ending hand #85 --",2022-07-18T04:23:18.894Z,165811819889402
"""K Godel @ Di5cxDUTF9"" collected 0.04 from pot",2022-07-18T04:23:18.894Z,165811819889401
"Uncalled bet of 0.02 returned to ""K Godel @ Di5cxDUTF9""",2022-07-18T04:23:18.894Z,165811819889400
"""Ball & Order @ d8oU9NBPet"" folds",2022-07-18T04:23:18.003Z,165811819800308
"""K Godel @ Di5cxDUTF9"" posts a straddle of 0.04",2022-07-18T04:23:18.003Z,165811819800307
"""Ball & Order @ d8oU9NBPet"" posts a big blind of 0.02",2022-07-18T04:23:18.003Z,165811819800306
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.01",2022-07-18T04:23:18.003Z,165811819800305
"Your hand is J♥, 7♠, Q♣, Q♥",2022-07-18T04:23:18.003Z,165811819800303
"Player stacks: #3 ""K Godel @ Di5cxDUTF9"" (5.19) | #6 ""Ball & Order @ d8oU9NBPet"" (2.01)",2022-07-18T04:23:18.003Z,165811819800302
"-- starting hand #85  (Pot Limit Omaha Hi) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-07-18T04:23:18.003Z,165811819800301
"The player ""Poindexter @ _yf6aQFJyI"" stand up with the stack of 3.82.",2022-07-18T04:23:18.003Z,165811819800300
"Undealt cards: J♣, 7♥, 2♥ [9♥, 4♥]",2022-07-18T04:23:14.665Z,165811819466500
"-- ending hand #84 --",2022-07-18T04:23:12.005Z,165811819200502
"""Poindexter @ _yf6aQFJyI"" collected 0.12 from pot",2022-07-18T04:23:12.005Z,165811819200501
"Uncalled bet of 0.06 returned to ""Poindexter @ _yf6aQFJyI""",2022-07-18T04:23:12.005Z,165811819200500
"""K Godel @ Di5cxDUTF9"" folds",2022-07-18T04:23:11.183Z,165811819118300
"""Poindexter @ _yf6aQFJyI"" bets 0.06",2022-07-18T04:23:01.115Z,165811818111500
"Flop:  [J♣, 7♥, 2♥]",2022-07-18T04:22:53.278Z,165811817327800
"""K Godel @ Di5cxDUTF9"" calls 0.06",2022-07-18T04:22:52.422Z,165811817242200
