entry,at,order
"The player ""K Godel @ Di5cxDUTF9"" canceled the seat request.",2022-06-11T04:13:56.024Z,165492083602400
"The player ""jean @ _I_YnTCjVs"" quits the game with a stack of 74.79.",2022-06-11T04:13:43.564Z,165492082356401
"The player ""Deckhole @ _yf6aQFJyI"" stand up with the stack of 203.54.",2022-06-11T04:13:43.564Z,165492082356400
"The player ""K Godel @ Di5cxDUTF9"" requested a seat.",2022-06-11T04:13:43.384Z,165492082338400
"-- ending hand #89 --",2022-06-11T04:13:40.570Z,165492082057002
"""jean @ _I_YnTCjVs"" collected 0.20 from pot",2022-06-11T04:13:40.570Z,165492082057001
"Uncalled bet of 0.15 returned to ""jean @ _I_YnTCjVs""",2022-06-11T04:13:40.570Z,165492082057000
"""Deckhole @ _yf6aQFJyI"" folds",2022-06-11T04:13:39.711Z,165492081971100
"""jean @ _I_YnTCjVs"" posts a big blind of 0.25",2022-06-11T04:13:32.559Z,165492081255905
"""Deckhole @ _yf6aQFJyI"" posts a small blind of 0.10",2022-06-11T04:13:32.559Z,165492081255904
"Player stacks: #8 ""jean @ _I_YnTCjVs"" (74.69) | #9 ""Deckhole @ _yf6aQFJyI"" (203.64)",2022-06-11T04:13:32.559Z,165492081255901
"-- starting hand #89  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""Deckhole @ _yf6aQFJyI"") --",2022-06-11T04:13:32.559Z,165492081255900
"-- ending hand #88 --",2022-06-11T04:13:29.561Z,165492080956102
"""Deckhole @ _yf6aQFJyI"" collected 3.00 from pot",2022-06-11T04:13:29.561Z,165492080956101
"Uncalled bet of 3.00 returned to ""Deckhole @ _yf6aQFJyI""",2022-06-11T04:13:29.561Z,165492080956100
"""jean @ _I_YnTCjVs"" folds",2022-06-11T04:13:28.726Z,165492080872600
"""Deckhole @ _yf6aQFJyI"" bets 3.00",2022-06-11T04:13:22.555Z,165492080255500
"Flop:  [9♥, 2♠, K♥]",2022-06-11T04:13:18.213Z,165492079821300
"""jean @ _I_YnTCjVs"" calls 1.50",2022-06-11T04:13:17.332Z,165492079733200
"""Deckhole @ _yf6aQFJyI"" raises to 1.50",2022-06-11T04:13:12.956Z,165492079295600
"""jean @ _I_YnTCjVs"" raises to 0.50",2022-06-11T04:13:09.464Z,165492078946400
"""Deckhole @ _yf6aQFJyI"" posts a big blind of 0.25",2022-06-11T04:12:56.308Z,165492077630806
"""jean @ _I_YnTCjVs"" posts a small blind of 0.10",2022-06-11T04:12:56.308Z,165492077630805
"Player stacks: #8 ""jean @ _I_YnTCjVs"" (76.19) | #9 ""Deckhole @ _yf6aQFJyI"" (202.14)",2022-06-11T04:12:56.308Z,165492077630802
"-- starting hand #88  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""jean @ _I_YnTCjVs"") --",2022-06-11T04:12:56.308Z,165492077630801
"The player ""K Godel @ Di5cxDUTF9"" quits the game with a stack of 0.00.",2022-06-11T04:12:56.308Z,165492077630800
"""Deckhole @ _yf6aQFJyI"" shows a Q♣, 3♥, 6♦, 2♠.",2022-06-11T04:12:51.516Z,165492077151600
"-- ending hand #87 --",2022-06-11T04:12:49.704Z,165492076970407
"""K Godel @ Di5cxDUTF9"" shows a 2♣, Q♦, 10♣, 5♥.",2022-06-11T04:12:49.704Z,165492076970406
"""jean @ _I_YnTCjVs"" collected 1.80 from pot with low hand with six high (combination: A♥, 2♥, 3♠, 4♥, 6♣)",2022-06-11T04:12:49.704Z,165492076970405
"""jean @ _I_YnTCjVs"" collected 1.80 from pot with hi hand with a pair of kings (combination: 8♣, 9♥, A♥, K♣, K♠)",2022-06-11T04:12:49.704Z,165492076970404
"""jean @ _I_YnTCjVs"" collected 17.70 from pot with low hand with six high (combination: A♥, 2♥, 3♠, 4♥, 6♣)",2022-06-11T04:12:49.704Z,165492076970403
"""jean @ _I_YnTCjVs"" collected 17.70 from pot with hi hand with a pair of kings (combination: 8♣, 9♥, A♥, K♣, K♠)",2022-06-11T04:12:49.704Z,165492076970402
"""jean @ _I_YnTCjVs"" shows a 4♥, 8♣, K♣, 2♥.",2022-06-11T04:12:49.704Z,165492076970401
"Uncalled bet of 37.19 returned to ""jean @ _I_YnTCjVs""",2022-06-11T04:12:49.704Z,165492076970400
"""Deckhole @ _yf6aQFJyI"" folds",2022-06-11T04:12:48.846Z,165492076884600
"""jean @ _I_YnTCjVs"" bets 37.19 and go all in",2022-06-11T04:12:28.251Z,165492074825100
"River: 9♥, 3♠, 6♣, A♥ [K♠]",2022-06-11T04:12:22.156Z,165492074215600
"""K Godel @ Di5cxDUTF9"" calls 8.40 and go all in",2022-06-11T04:12:21.346Z,165492074134600
"""Deckhole @ _yf6aQFJyI"" calls 10.20",2022-06-11T04:12:19.218Z,165492073921800
"""jean @ _I_YnTCjVs"" bets 10.20",2022-06-11T04:12:12.363Z,165492073236300
"Turn: 9♥, 3♠, 6♣ [A♥]",2022-06-11T04:12:05.259Z,165492072525900
"""jean @ _I_YnTCjVs"" calls 2.55",2022-06-11T04:12:04.346Z,165492072434600
"""K Godel @ Di5cxDUTF9"" calls 2.55",2022-06-11T04:12:03.372Z,165492072337200
"""Deckhole @ _yf6aQFJyI"" bets 2.55",2022-06-11T04:12:00.779Z,165492072077900
"""jean @ _I_YnTCjVs"" checks",2022-06-11T04:11:57.603Z,165492071760300
"Flop:  [9♥, 3♠, 6♣]",2022-06-11T04:11:53.104Z,165492071310400
"""Deckhole @ _yf6aQFJyI"" calls 0.85",2022-06-11T04:11:52.215Z,165492071221500
"""jean @ _I_YnTCjVs"" calls 0.85",2022-06-11T04:11:50.400Z,165492071040000
"""K Godel @ Di5cxDUTF9"" raises to 0.85",2022-06-11T04:11:48.740Z,165492070874000
"""Deckhole @ _yf6aQFJyI"" posts a big blind of 0.25",2022-06-11T04:11:40.497Z,165492070049706
"""jean @ _I_YnTCjVs"" posts a small blind of 0.10",2022-06-11T04:11:40.497Z,165492070049705
"Your hand is 2♣, Q♦, 10♣, 5♥",2022-06-11T04:11:40.497Z,165492070049702
"Player stacks: #6 ""K Godel @ Di5cxDUTF9"" (11.80) | #8 ""jean @ _I_YnTCjVs"" (50.79) | #9 ""Deckhole @ _yf6aQFJyI"" (215.74)",2022-06-11T04:11:40.497Z,165492070049701
"-- starting hand #87  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-06-11T04:11:40.497Z,165492070049700
"-- ending hand #86 --",2022-06-11T04:11:34.393Z,165492069439302
"""Deckhole @ _yf6aQFJyI"" collected 114.63 from pot with hi hand with full house tens full of nines (combination: 9♥, 9♠, 10♣, 10♥, 10♦)",2022-06-11T04:11:34.393Z,165492069439301
"""Deckhole @ _yf6aQFJyI"" shows a 10♣, 7♥, 6♥, 10♥.",2022-06-11T04:11:34.393Z,165492069439300
"""jean @ _I_YnTCjVs"" calls 38.21",2022-06-11T04:11:33.542Z,165492069354200
"""Deckhole @ _yf6aQFJyI"" bets 38.21",2022-06-11T04:11:31.987Z,165492069198700
"""jean @ _I_YnTCjVs"" checks",2022-06-11T04:11:29.010Z,165492068901000
"River: 9♥, 6♦, 9♠, 10♦ [4♠]",2022-06-11T04:11:24.890Z,165492068489000
"""jean @ _I_YnTCjVs"" calls 15.28",2022-06-11T04:11:24.062Z,165492068406200
"""Deckhole @ _yf6aQFJyI"" raises to 15.28",2022-06-11T04:11:22.560Z,165492068256000
"""jean @ _I_YnTCjVs"" bets 3.82",2022-06-11T04:11:17.527Z,165492067752700
"Turn: 9♥, 6♦, 9♠ [10♦]",2022-06-11T04:11:11.096Z,165492067109600
"""jean @ _I_YnTCjVs"" calls 2.55",2022-06-11T04:11:10.274Z,165492067027400
"""K Godel @ Di5cxDUTF9"" folds",2022-06-11T04:11:09.334Z,165492066933400
"""Deckhole @ _yf6aQFJyI"" bets 2.55",2022-06-11T04:11:07.645Z,165492066764500
"""jean @ _I_YnTCjVs"" checks",2022-06-11T04:11:03.716Z,165492066371600
"""K Godel @ Di5cxDUTF9"" checks",2022-06-11T04:11:00.910Z,165492066091000
"Flop:  [9♥, 6♦, 9♠]",2022-06-11T04:10:55.879Z,165492065587900
