entry,at,order
"The player ""K Godel @ TN11URmFSv"" quits the game with a stack of 83.56.",2022-09-21T04:04:50.982Z,166373309098200
"The player ""Malarkey @ Ia-cNlUwV8"" quits the game with a stack of 36.90.",2022-09-21T04:04:40.927Z,166373308092701
"The admin ""K Godel @ TN11URmFSv"" enqueued the removal of the player ""Malarkey @ Ia-cNlUwV8"".",2022-09-21T04:04:40.927Z,166373308092700
"The player ""Levi @ lUNm2yKocc"" quits the game with a stack of 19.47.",2022-09-21T04:04:34.682Z,166373307468201
"The admin ""K Godel @ TN11URmFSv"" enqueued the removal of the player ""Levi @ lUNm2yKocc"".",2022-09-21T04:04:34.682Z,166373307468200
"The player ""Jean @ QLHzuQRo1C"" quits the game with a stack of 149.90.",2022-09-21T04:04:28.965Z,166373306896501
"The admin ""K Godel @ TN11URmFSv"" enqueued the removal of the player ""Jean @ QLHzuQRo1C"".",2022-09-21T04:04:28.965Z,166373306896500
"The player ""Deckhole @ 3URETjsK60"" quits the game with a stack of 4.90.",2022-09-21T04:04:18.281Z,166373305828101
"The admin ""K Godel @ TN11URmFSv"" enqueued the removal of the player ""Deckhole @ 3URETjsK60"".",2022-09-21T04:04:18.281Z,166373305828100
"The player ""lynn @ 9CcL0DjUmK"" quits the game with a stack of 71.13.",2022-09-21T04:03:13.189Z,166373299318900
"-- ending hand #195 --",2022-09-21T04:03:10.189Z,166373299018902
"""K Godel @ TN11URmFSv"" collected 0.50 from pot",2022-09-21T04:03:10.189Z,166373299018901
"Uncalled bet of 0.50 returned to ""K Godel @ TN11URmFSv""",2022-09-21T04:03:10.189Z,166373299018900
"""lynn @ 9CcL0DjUmK"" folds",2022-09-21T04:03:09.295Z,166373298929500
"""K Godel @ TN11URmFSv"" raises to 0.75",2022-09-21T04:03:03.694Z,166373298369400
"""lynn @ 9CcL0DjUmK"" posts a big blind of 0.25",2022-09-21T04:02:59.354Z,166373297935405
"""K Godel @ TN11URmFSv"" posts a small blind of 0.10",2022-09-21T04:02:59.354Z,166373297935404
"Your hand is 3♥, Q♣",2022-09-21T04:02:59.354Z,166373297935402
"Player stacks: #4 ""K Godel @ TN11URmFSv"" (83.31) | #9 ""lynn @ 9CcL0DjUmK"" (71.38)",2022-09-21T04:02:59.354Z,166373297935401
"-- starting hand #195  (No Limit Texas Hold'em) (dealer: ""K Godel @ TN11URmFSv"") --",2022-09-21T04:02:59.354Z,166373297935400
"-- ending hand #194 --",2022-09-21T04:02:53.337Z,166373297333702
"""K Godel @ TN11URmFSv"" collected 0.20 from pot",2022-09-21T04:02:53.337Z,166373297333701
"Uncalled bet of 0.15 returned to ""K Godel @ TN11URmFSv""",2022-09-21T04:02:53.337Z,166373297333700
