entry,at,order
"The player ""Jean @ QLHzuQRo1C"" quits the game with a stack of 3.04.",2022-08-11T04:42:21.595Z,166019294159501
"The admin ""K Godel @ TN11URmFSv"" enqueued the removal of the player ""Jean @ QLHzuQRo1C"".",2022-08-11T04:42:21.595Z,166019294159500
"The player ""K Godel @ TN11URmFSv"" stand up with the stack of 6.60.",2022-08-11T04:41:04.068Z,166019286406800
"-- ending hand #203 --",2022-08-11T04:41:01.129Z,166019286112902
"""Jean @ QLHzuQRo1C"" collected 0.02 from pot",2022-08-11T04:41:01.129Z,166019286112901
"Uncalled bet of 0.01 returned to ""Jean @ QLHzuQRo1C""",2022-08-11T04:41:01.129Z,166019286112900
"""K Godel @ TN11URmFSv"" folds",2022-08-11T04:41:00.290Z,166019286029000
"""Jean @ QLHzuQRo1C"" posts a big blind of 0.02",2022-08-11T04:40:54.724Z,166019285472405
"""K Godel @ TN11URmFSv"" posts a small blind of 0.01",2022-08-11T04:40:54.724Z,166019285472404
"Your hand is J♣, 5♣",2022-08-11T04:40:54.724Z,166019285472402
"Player stacks: #1 ""K Godel @ TN11URmFSv"" (6.61) | #4 ""Jean @ QLHzuQRo1C"" (3.03)",2022-08-11T04:40:54.724Z,166019285472401
"-- starting hand #203  (No Limit Texas Hold'em) (dealer: ""K Godel @ TN11URmFSv"") --",2022-08-11T04:40:54.724Z,166019285472400
"-- ending hand #202 --",2022-08-11T04:40:51.768Z,166019285176802
"""K Godel @ TN11URmFSv"" collected 0.02 from pot",2022-08-11T04:40:51.768Z,166019285176801
"Uncalled bet of 0.01 returned to ""K Godel @ TN11URmFSv""",2022-08-11T04:40:51.768Z,166019285176800
"""Jean @ QLHzuQRo1C"" folds",2022-08-11T04:40:50.930Z,166019285093000
"""K Godel @ TN11URmFSv"" posts a big blind of 0.02",2022-08-11T04:40:41.761Z,166019284176106
"""Jean @ QLHzuQRo1C"" posts a small blind of 0.01",2022-08-11T04:40:41.761Z,166019284176105
"Your hand is 4♠, Q♠",2022-08-11T04:40:41.761Z,166019284176103
"Player stacks: #1 ""K Godel @ TN11URmFSv"" (6.60) | #4 ""Jean @ QLHzuQRo1C"" (3.04)",2022-08-11T04:40:41.761Z,166019284176102
"-- starting hand #202  (No Limit Texas Hold'em) (dealer: ""Jean @ QLHzuQRo1C"") --",2022-08-11T04:40:41.761Z,166019284176101
"The player ""Malarkey @ Ia-cNlUwV8"" quits the game with a stack of 0.00.",2022-08-11T04:40:41.761Z,166019284176100
"""Jean @ QLHzuQRo1C"" shows a J♥, 8♠.",2022-08-11T04:40:39.301Z,166019283930100
"-- ending hand #201 --",2022-08-11T04:40:35.250Z,166019283525001
"""K Godel @ TN11URmFSv"" collected 2.30 from pot with Two Pair, Q's & 9's (combination: Q♠, Q♦, 9♠, 9♥, K♣)",2022-08-11T04:40:35.250Z,166019283525000
"River: K♣, 8♦, 9♥, 6♥ [Q♦]",2022-08-11T04:40:31.160Z,166019283116000
"""Malarkey @ Ia-cNlUwV8"" shows a A♥, A♠.",2022-08-11T04:40:27.157Z,166019282715701
"""K Godel @ TN11URmFSv"" shows a Q♠, 9♠.",2022-08-11T04:40:27.157Z,166019282715700
"Some players choose to not run it twice.",2022-08-11T04:40:26.345Z,166019282634501
"""Malarkey @ Ia-cNlUwV8"" chooses to not run it twice.",2022-08-11T04:40:26.345Z,166019282634500
"Remaining players decide whether to run it twice.",2022-08-11T04:40:26.270Z,166019282627001
"""K Godel @ TN11URmFSv"" calls 0.50",2022-08-11T04:40:26.270Z,166019282627000
"""Malarkey @ Ia-cNlUwV8"" bets 0.50 and go all in",2022-08-11T04:40:23.045Z,166019282304500
"Turn: K♣, 8♦, 9♥ [6♥]",2022-08-11T04:40:19.844Z,166019281984400
"""K Godel @ TN11URmFSv"" calls 0.39",2022-08-11T04:40:18.980Z,166019281898000
"""Malarkey @ Ia-cNlUwV8"" bets 0.39",2022-08-11T04:40:16.532Z,166019281653200
"Flop:  [K♣, 8♦, 9♥]",2022-08-11T04:40:12.498Z,166019281249800
"""K Godel @ TN11URmFSv"" calls 0.25",2022-08-11T04:40:11.674Z,166019281167400
"""Jean @ QLHzuQRo1C"" folds",2022-08-11T04:40:08.374Z,166019280837400
"""Malarkey @ Ia-cNlUwV8"" raises to 0.25",2022-08-11T04:40:07.474Z,166019280747400
"""K Godel @ TN11URmFSv"" raises to 0.07",2022-08-11T04:40:01.402Z,166019280140200
"""Jean @ QLHzuQRo1C"" posts a big blind of 0.02",2022-08-11T04:39:58.066Z,166019279806606
"""Malarkey @ Ia-cNlUwV8"" posts a small blind of 0.01",2022-08-11T04:39:58.066Z,166019279806605
"Your hand is Q♠, 9♠",2022-08-11T04:39:58.066Z,166019279806602
"Player stacks: #1 ""K Godel @ TN11URmFSv"" (5.44) | #3 ""Malarkey @ Ia-cNlUwV8"" (1.14) | #4 ""Jean @ QLHzuQRo1C"" (3.06)",2022-08-11T04:39:58.066Z,166019279806601
"-- starting hand #201  (No Limit Texas Hold'em) (dealer: ""K Godel @ TN11URmFSv"") --",2022-08-11T04:39:58.066Z,166019279806600
"Undealt cards: 10♠, 10♦, Q♦ [9♥, J♥]",2022-08-11T04:39:54.004Z,166019279400400
"-- ending hand #200 --",2022-08-11T04:39:52.106Z,166019279210602
"""K Godel @ TN11URmFSv"" collected 0.12 from pot",2022-08-11T04:39:52.106Z,166019279210601
"Uncalled bet of 0.06 returned to ""K Godel @ TN11URmFSv""",2022-08-11T04:39:52.106Z,166019279210600
"""Malarkey @ Ia-cNlUwV8"" folds",2022-08-11T04:39:51.266Z,166019279126600
"""K Godel @ TN11URmFSv"" bets 0.06",2022-08-11T04:39:49.573Z,166019278957300
"Flop:  [10♠, 10♦, Q♦]",2022-08-11T04:39:44.254Z,166019278425400
"""Malarkey @ Ia-cNlUwV8"" calls 0.06",2022-08-11T04:39:43.421Z,166019278342100
"""K Godel @ TN11URmFSv"" raises to 0.06",2022-08-11T04:39:40.990Z,166019278099000
"""Jean @ QLHzuQRo1C"" folds",2022-08-11T04:39:35.934Z,166019277593400
"""Malarkey @ Ia-cNlUwV8"" posts a big blind of 0.02",2022-08-11T04:39:32.993Z,166019277299306
"""K Godel @ TN11URmFSv"" posts a small blind of 0.01",2022-08-11T04:39:32.993Z,166019277299305
"Your hand is J♦, K♣",2022-08-11T04:39:32.993Z,166019277299302
