entry,at,order
"The player ""lynn @ qRLMfzBQ8s"" quits the game with a stack of 0.00.",2022-12-05T06:00:39.680Z,167022003968002
"The player ""K Godel @ TN11URmFSv"" stand up with the stack of 45.63.",2022-12-05T06:00:39.680Z,167022003968001
"The player ""Deckhole @ 3URETjsK60"" stand up with the stack of 74.94.",2022-12-05T06:00:39.680Z,167022003968000
"-- ending hand #289 --",2022-12-05T06:00:31.594Z,167022003159402
"""Deckhole @ 3URETjsK60"" collected 11.64 from pot with Straight on the second run  (combination: J♦, 10♠, 9♥, 8♣, 7♦)",2022-12-05T06:00:31.594Z,167022003159401
"""Deckhole @ 3URETjsK60"" collected 11.65 from pot with Straight (combination: J♦, 10♠, 9♥, 8♣, 7♦)",2022-12-05T06:00:31.594Z,167022003159400
"River (second run): 10♠, 7♦, 9♥, 6♠ [9♣]",2022-12-05T06:00:27.477Z,167022002747700
"Turn (second run): 10♠, 7♦, 9♥ [6♠]",2022-12-05T06:00:23.468Z,167022002346800
"River: 10♠, 7♦, 9♥, 7♥ [A♣]",2022-12-05T06:00:19.385Z,167022001938500
"Turn: 10♠, 7♦, 9♥ [7♥]",2022-12-05T06:00:15.372Z,167022001537200
"""Deckhole @ 3URETjsK60"" shows a 3♥, J♦, 8♣, 10♦.",2022-12-05T06:00:11.368Z,167022001136800
"""lynn @ qRLMfzBQ8s"" shows a J♣, K♣, K♠, 5♠.",2022-12-05T06:00:11.180Z,167022001118000
"All players in hand choose to run it twice.",2022-12-05T06:00:10.467Z,167022001046701
"""Deckhole @ 3URETjsK60"" chooses to  run it twice.",2022-12-05T06:00:10.467Z,167022001046700
"""lynn @ qRLMfzBQ8s"" chooses to  run it twice.",2022-12-05T06:00:08.689Z,167022000868900
"Remaining players decide whether to run it twice.",2022-12-05T06:00:08.619Z,167022000861901
"""lynn @ qRLMfzBQ8s"" calls 9.47 and go all in",2022-12-05T06:00:08.619Z,167022000861900
"""Deckhole @ 3URETjsK60"" raises to 9.47",2022-12-05T06:00:03.973Z,167022000397300
"""K Godel @ TN11URmFSv"" folds",2022-12-05T06:00:00.447Z,167022000044700
"""lynn @ qRLMfzBQ8s"" bets 2.17",2022-12-05T05:59:51.824Z,167021999182400
"""Deckhole @ 3URETjsK60"" checks",2022-12-05T05:59:45.070Z,167021998507000
"Flop:  [10♠, 7♦, 9♥]",2022-12-05T05:59:40.122Z,167021998012200
"""Deckhole @ 3URETjsK60"" calls 1.45",2022-12-05T05:59:39.318Z,167021997931800
"""K Godel @ TN11URmFSv"" calls 1.45",2022-12-05T05:59:37.231Z,167021997723100
"""lynn @ qRLMfzBQ8s"" raises to 1.45",2022-12-05T05:59:34.749Z,167021997474900
"""Deckhole @ 3URETjsK60"" calls 0.85",2022-12-05T05:59:26.131Z,167021996613100
"""K Godel @ TN11URmFSv"" raises to 0.85",2022-12-05T05:59:23.537Z,167021996353700
"""lynn @ qRLMfzBQ8s"" posts a big blind of 0.25",2022-12-05T05:59:17.303Z,167021995730306
"""Deckhole @ 3URETjsK60"" posts a small blind of 0.10",2022-12-05T05:59:17.303Z,167021995730305
"Your hand is 2♥, 3♠, 4♣, 6♣",2022-12-05T05:59:17.303Z,167021995730302
"Player stacks: #2 ""K Godel @ TN11URmFSv"" (47.08) | #9 ""Deckhole @ 3URETjsK60"" (62.57) | #10 ""lynn @ qRLMfzBQ8s"" (10.92)",2022-12-05T05:59:17.303Z,167021995730301
"-- starting hand #289 (id: 4n6viiv7936s)  (Pot Limit Omaha Hi) (dealer: ""K Godel @ TN11URmFSv"") --",2022-12-05T05:59:17.303Z,167021995730300
"""K Godel @ TN11URmFSv"" shows a 4♥, A♠, 2♠, 5♠.",2022-12-05T05:59:12.149Z,167021995214900
"-- ending hand #288 --",2022-12-05T05:59:10.695Z,167021995069502
"""Deckhole @ 3URETjsK60"" collected 0.20 from pot",2022-12-05T05:59:10.695Z,167021995069501
"Uncalled bet of 0.15 returned to ""Deckhole @ 3URETjsK60""",2022-12-05T05:59:10.695Z,167021995069500
"""K Godel @ TN11URmFSv"" folds",2022-12-05T05:59:09.842Z,167021994984200
"""lynn @ qRLMfzBQ8s"" folds",2022-12-05T05:59:03.132Z,167021994313200
"""Deckhole @ 3URETjsK60"" posts a big blind of 0.25",2022-12-05T05:58:56.087Z,167021993608706
"""K Godel @ TN11URmFSv"" posts a small blind of 0.10",2022-12-05T05:58:56.087Z,167021993608705
"Your hand is 4♥, A♠, 2♠, 5♠",2022-12-05T05:58:56.087Z,167021993608702
"Player stacks: #2 ""K Godel @ TN11URmFSv"" (47.18) | #9 ""Deckhole @ 3URETjsK60"" (62.47) | #10 ""lynn @ qRLMfzBQ8s"" (10.92)",2022-12-05T05:58:56.087Z,167021993608701
"-- starting hand #288 (id: xwqci2ak3s2m)  (Pot Limit Omaha Hi) (dealer: ""lynn @ qRLMfzBQ8s"") --",2022-12-05T05:58:56.087Z,167021993608700
"-- ending hand #287 --",2022-12-05T05:58:50.088Z,167021993008802
"""K Godel @ TN11URmFSv"" collected 0.20 from pot",2022-12-05T05:58:50.088Z,167021993008801
"Uncalled bet of 0.15 returned to ""K Godel @ TN11URmFSv""",2022-12-05T05:58:50.088Z,167021993008800
"""lynn @ qRLMfzBQ8s"" folds",2022-12-05T05:58:49.239Z,167021992923900
"""Deckhole @ 3URETjsK60"" folds",2022-12-05T05:58:48.286Z,167021992828600
"""K Godel @ TN11URmFSv"" posts a big blind of 0.25",2022-12-05T05:58:46.290Z,167021992629006
"""lynn @ qRLMfzBQ8s"" posts a small blind of 0.10",2022-12-05T05:58:46.290Z,167021992629005
"Your hand is J♦, 6♣, A♥, 5♣",2022-12-05T05:58:46.290Z,167021992629002
"Player stacks: #2 ""K Godel @ TN11URmFSv"" (47.08) | #9 ""Deckhole @ 3URETjsK60"" (62.47) | #10 ""lynn @ qRLMfzBQ8s"" (11.02)",2022-12-05T05:58:46.290Z,167021992629001
"-- starting hand #287 (id: 3iczlfuww9jj)  (Pot Limit Omaha Hi) (dealer: ""Deckhole @ 3URETjsK60"") --",2022-12-05T05:58:46.290Z,167021992629000
