entry,at,order
"The player ""lynn @ qRLMfzBQ8s"" stand up with the stack of 121.42.",2022-12-24T06:39:26.623Z,167186396662300
"-- ending hand #339 --",2022-12-24T06:39:20.692Z,167186396069202
"""Deckhole @ 3URETjsK60"" collected 0.20 from pot",2022-12-24T06:39:20.692Z,167186396069201
"Uncalled bet of 0.15 returned to ""Deckhole @ 3URETjsK60""",2022-12-24T06:39:20.692Z,167186396069200
"""lynn @ qRLMfzBQ8s"" folds",2022-12-24T06:39:19.867Z,167186395986700
"""Deckhole @ 3URETjsK60"" posts a big blind of 0.25",2022-12-24T06:39:19.623Z,167186395962306
"""lynn @ qRLMfzBQ8s"" posts a small blind of 0.10",2022-12-24T06:39:19.623Z,167186395962305
"Player stacks: #4 ""lynn @ qRLMfzBQ8s"" (121.52) | #7 ""Deckhole @ 3URETjsK60"" (224.60)",2022-12-24T06:39:19.623Z,167186395962302
"-- starting hand #339 (id: yz8z8x26iw5j)  (No Limit Texas Hold'em) (dealer: ""lynn @ qRLMfzBQ8s"") --",2022-12-24T06:39:19.623Z,167186395962301
"The player ""Mag Kirwin @ e4MtM50XXb"" stand up with the stack of 140.74.",2022-12-24T06:39:19.623Z,167186395962300
"-- ending hand #338 --",2022-12-24T06:39:16.694Z,167186395669402
"""Deckhole @ 3URETjsK60"" collected 7.00 from pot",2022-12-24T06:39:16.694Z,167186395669401
"Uncalled bet of 11.11 returned to ""Deckhole @ 3URETjsK60""",2022-12-24T06:39:16.694Z,167186395669400
"""lynn @ qRLMfzBQ8s"" folds",2022-12-24T06:39:15.884Z,167186395588400
"""Deckhole @ 3URETjsK60"" bets 11.11",2022-12-24T06:39:13.964Z,167186395396400
"""lynn @ qRLMfzBQ8s"" checks",2022-12-24T06:39:07.853Z,167186394785300
"River: 8♣, 9♣, 5♦, A♥ [A♣]",2022-12-24T06:39:05.720Z,167186394572000
"""lynn @ qRLMfzBQ8s"" calls 2.00",2022-12-24T06:39:04.884Z,167186394488400
"""Deckhole @ 3URETjsK60"" bets 2.00",2022-12-24T06:38:58.677Z,167186393867700
"""lynn @ qRLMfzBQ8s"" checks",2022-12-24T06:38:51.239Z,167186393123900
"Turn: 8♣, 9♣, 5♦ [A♥]",2022-12-24T06:38:49.403Z,167186392940300
"""Deckhole @ 3URETjsK60"" calls 0.75",2022-12-24T06:38:48.496Z,167186392849600
"""lynn @ qRLMfzBQ8s"" bets 0.75",2022-12-24T06:38:40.323Z,167186392032300
"Flop:  [8♣, 9♣, 5♦]",2022-12-24T06:38:35.398Z,167186391539800
"""Deckhole @ 3URETjsK60"" calls 0.75",2022-12-24T06:38:34.559Z,167186391455900
"""lynn @ qRLMfzBQ8s"" raises to 0.75",2022-12-24T06:38:32.775Z,167186391277500
"""Mag Kirwin @ e4MtM50XXb"" folds",2022-12-24T06:38:18.690Z,167186389869000
"""Deckhole @ 3URETjsK60"" posts a big blind of 0.25",2022-12-24T06:38:16.585Z,167186389658506
"""lynn @ qRLMfzBQ8s"" posts a small blind of 0.10",2022-12-24T06:38:16.585Z,167186389658505
"Player stacks: #4 ""lynn @ qRLMfzBQ8s"" (125.02) | #7 ""Deckhole @ 3URETjsK60"" (221.10) | #9 ""Mag Kirwin @ e4MtM50XXb"" (140.74)",2022-12-24T06:38:16.585Z,167186389658501
"-- starting hand #338 (id: ffhumhxz4m34)  (No Limit Texas Hold'em) (dealer: ""Mag Kirwin @ e4MtM50XXb"") --",2022-12-24T06:38:16.585Z,167186389658500
"-- ending hand #337 --",2022-12-24T06:38:10.587Z,167186389058702
"""Deckhole @ 3URETjsK60"" collected 1.95 from pot",2022-12-24T06:38:10.587Z,167186389058701
"Uncalled bet of 0.44 returned to ""Deckhole @ 3URETjsK60""",2022-12-24T06:38:10.587Z,167186389058700
"""Mag Kirwin @ e4MtM50XXb"" folds",2022-12-24T06:38:09.714Z,167186388971400
"""Deckhole @ 3URETjsK60"" bets 0.44",2022-12-24T06:37:53.582Z,167186387358200
"""Mag Kirwin @ e4MtM50XXb"" checks",2022-12-24T06:37:46.992Z,167186386699200
"Flop:  [9♦, K♠, 9♥]",2022-12-24T06:37:44.142Z,167186386414200
"""lynn @ qRLMfzBQ8s"" folds",2022-12-24T06:37:43.323Z,167186386332300
"""Mag Kirwin @ e4MtM50XXb"" calls 0.85",2022-12-24T06:37:42.386Z,167186386238600
"""Deckhole @ 3URETjsK60"" raises to 0.85",2022-12-24T06:37:30.484Z,167186385048400
"""lynn @ qRLMfzBQ8s"" posts a big blind of 0.25",2022-12-24T06:37:27.304Z,167186384730406
"""Mag Kirwin @ e4MtM50XXb"" posts a small blind of 0.10",2022-12-24T06:37:27.304Z,167186384730405
"Player stacks: #4 ""lynn @ qRLMfzBQ8s"" (125.27) | #7 ""Deckhole @ 3URETjsK60"" (220.00) | #9 ""Mag Kirwin @ e4MtM50XXb"" (141.59)",2022-12-24T06:37:27.304Z,167186384730401
"-- starting hand #337 (id: ehz3cj9sb9qf)  (No Limit Texas Hold'em) (dealer: ""Deckhole @ 3URETjsK60"") --",2022-12-24T06:37:27.304Z,167186384730400
"-- ending hand #336 --",2022-12-24T06:37:24.339Z,167186384433902
"""Deckhole @ 3URETjsK60"" collected 0.50 from pot",2022-12-24T06:37:24.339Z,167186384433901
"Uncalled bet of 0.50 returned to ""Deckhole @ 3URETjsK60""",2022-12-24T06:37:24.339Z,167186384433900
"""Mag Kirwin @ e4MtM50XXb"" folds",2022-12-24T06:37:23.513Z,167186384351300
"""Deckhole @ 3URETjsK60"" raises to 0.75",2022-12-24T06:37:11.644Z,167186383164400
"""lynn @ qRLMfzBQ8s"" folds",2022-12-24T06:37:08.262Z,167186382826200
"""Mag Kirwin @ e4MtM50XXb"" posts a big blind of 0.25",2022-12-24T06:37:05.027Z,167186382502706
"""Deckhole @ 3URETjsK60"" posts a small blind of 0.10",2022-12-24T06:37:05.027Z,167186382502705
"Player stacks: #4 ""lynn @ qRLMfzBQ8s"" (125.27) | #7 ""Deckhole @ 3URETjsK60"" (219.75) | #9 ""Mag Kirwin @ e4MtM50XXb"" (141.84)",2022-12-24T06:37:05.027Z,167186382502701
"-- starting hand #336 (id: qjhc64cb8z30)  (No Limit Texas Hold'em) (dealer: ""lynn @ qRLMfzBQ8s"") --",2022-12-24T06:37:05.027Z,167186382502700
"-- ending hand #335 --",2022-12-24T06:37:02.027Z,167186382202702
"""Deckhole @ 3URETjsK60"" collected 0.20 from pot",2022-12-24T06:37:02.027Z,167186382202701
"Uncalled bet of 0.15 returned to ""Deckhole @ 3URETjsK60""",2022-12-24T06:37:02.027Z,167186382202700
"""lynn @ qRLMfzBQ8s"" folds",2022-12-24T06:37:01.116Z,167186382111600
"""Mag Kirwin @ e4MtM50XXb"" folds",2022-12-24T06:37:00.228Z,167186382022800
"""Deckhole @ 3URETjsK60"" posts a big blind of 0.25",2022-12-24T06:36:57.400Z,167186381740006
"""lynn @ qRLMfzBQ8s"" posts a small blind of 0.10",2022-12-24T06:36:57.400Z,167186381740005
