entry,at,order
"-- ending hand #246 --",2022-07-31T03:54:59.815Z,165923969981501
"""Deckhole @ 3URETjsK60"" collected 45.81 from pot with Straight, J High (combination: J♥, 10♣, 9♥, 8♣, 7♥)",2022-07-31T03:54:59.815Z,165923969981500
"River: 6♦, 7♥, 4♣, 10♣ [J♥]",2022-07-31T03:54:48.608Z,165923968860800
"Turn: 6♦, 7♥, 4♣ [10♣]",2022-07-31T03:54:39.281Z,165923967928100
"""Deckhole @ 3URETjsK60"" shows a 9♥, 8♣.",2022-07-31T03:54:35.265Z,165923967526502
"""TLS33 @ tfHtIxkcZq"" shows a 4♦, 4♥.",2022-07-31T03:54:35.265Z,165923967526501
"Uncalled bet of 16.32 returned to ""TLS33 @ tfHtIxkcZq""",2022-07-31T03:54:35.265Z,165923967526500
"Some players choose to not run it twice.",2022-07-31T03:54:34.396Z,165923967439601
"""Deckhole @ 3URETjsK60"" chooses to not run it twice.",2022-07-31T03:54:34.396Z,165923967439600
"Remaining players decide whether to run it twice.",2022-07-31T03:54:32.063Z,165923967206301
"""Breezy @ _8CiDq023a"" folds",2022-07-31T03:54:32.063Z,165923967206300
"""TLS33 @ tfHtIxkcZq"" bets 16.32",2022-07-31T03:54:22.408Z,165923966240800
"""Breezy @ _8CiDq023a"" checks",2022-07-31T03:54:15.144Z,165923965514400
"Flop:  [6♦, 7♥, 4♣]",2022-07-31T03:54:08.174Z,165923964817400
"""TLS33 @ tfHtIxkcZq"" calls 15.27",2022-07-31T03:54:07.305Z,165923964730500
"""Breezy @ _8CiDq023a"" calls 15.27",2022-07-31T03:53:58.595Z,165923963859500
"""Deckhole @ 3URETjsK60"" raises to 15.27 and go all in",2022-07-31T03:53:55.133Z,165923963513300
"""TLS33 @ tfHtIxkcZq"" calls 2.31",2022-07-31T03:53:52.461Z,165923963246100
"""Breezy @ _8CiDq023a"" raises to 2.31",2022-07-31T03:53:47.939Z,165923962793900
"""Deckhole @ 3URETjsK60"" raises to 0.85",2022-07-31T03:53:35.310Z,165923961531000
"""TLS33 @ tfHtIxkcZq"" posts a big blind of 0.25",2022-07-31T03:53:32.906Z,165923961290606
"""Breezy @ _8CiDq023a"" posts a small blind of 0.10",2022-07-31T03:53:32.906Z,165923961290605
"Player stacks: #1 ""Breezy @ _8CiDq023a"" (194.39) | #7 ""TLS33 @ tfHtIxkcZq"" (282.02) | #8 ""Deckhole @ 3URETjsK60"" (15.27)",2022-07-31T03:53:32.906Z,165923961290601
"-- starting hand #246  (No Limit Texas Hold'em) (dealer: ""Deckhole @ 3URETjsK60"") --",2022-07-31T03:53:32.906Z,165923961290600
"""TLS33 @ tfHtIxkcZq"" shows a A♠, A♥.",2022-07-31T03:53:27.010Z,165923960701000
"-- ending hand #245 --",2022-07-31T03:53:26.291Z,165923960629102
"""TLS33 @ tfHtIxkcZq"" collected 7.77 from pot",2022-07-31T03:53:26.291Z,165923960629101
"Uncalled bet of 3.88 returned to ""TLS33 @ tfHtIxkcZq""",2022-07-31T03:53:26.291Z,165923960629100
"""Deckhole @ 3URETjsK60"" folds",2022-07-31T03:53:25.417Z,165923960541700
"""TLS33 @ tfHtIxkcZq"" bets 3.88",2022-07-31T03:53:22.126Z,165923960212600
"""Deckhole @ 3URETjsK60"" checks",2022-07-31T03:53:16.527Z,165923959652700
"Turn: 10♦, 6♠, 7♦ [Q♣]",2022-07-31T03:53:14.974Z,165923959497400
"""Deckhole @ 3URETjsK60"" calls 2.91",2022-07-31T03:53:14.119Z,165923959411900
"""TLS33 @ tfHtIxkcZq"" raises to 2.91",2022-07-31T03:52:59.306Z,165923957930600
"""Deckhole @ 3URETjsK60"" bets 0.97",2022-07-31T03:52:53.293Z,165923957329300
"Flop:  [10♦, 6♠, 7♦]",2022-07-31T03:52:48.475Z,165923956847500
"""Breezy @ _8CiDq023a"" folds",2022-07-31T03:52:47.656Z,165923956765600
"""Deckhole @ 3URETjsK60"" calls 0.85",2022-07-31T03:52:40.901Z,165923956090100
"""TLS33 @ tfHtIxkcZq"" raises to 0.85",2022-07-31T03:52:29.121Z,165923954912100
"""Breezy @ _8CiDq023a"" posts a big blind of 0.25",2022-07-31T03:52:23.725Z,165923954372506
"""Deckhole @ 3URETjsK60"" posts a small blind of 0.10",2022-07-31T03:52:23.725Z,165923954372505
"Player stacks: #1 ""Breezy @ _8CiDq023a"" (194.64) | #7 ""TLS33 @ tfHtIxkcZq"" (278.01) | #8 ""Deckhole @ 3URETjsK60"" (19.03)",2022-07-31T03:52:23.725Z,165923954372501
"-- starting hand #245  (No Limit Texas Hold'em) (dealer: ""TLS33 @ tfHtIxkcZq"") --",2022-07-31T03:52:23.725Z,165923954372500
"""Breezy @ _8CiDq023a"" shows a 2♦, 2♣.",2022-07-31T03:52:19.380Z,165923953938000
"-- ending hand #244 --",2022-07-31T03:52:17.160Z,165923953716002
"""Deckhole @ 3URETjsK60"" collected 4.20 from pot with Pair, 7's (combination: 7♣, 7♦, Q♥, J♦, 10♥)",2022-07-31T03:52:17.160Z,165923953716001
"""Deckhole @ 3URETjsK60"" shows a 7♣, 7♦.",2022-07-31T03:52:17.160Z,165923953716000
"""Breezy @ _8CiDq023a"" checks",2022-07-31T03:52:16.346Z,165923953634600
"""Deckhole @ 3URETjsK60"" checks",2022-07-31T03:51:49.077Z,165923950907700
"River: J♦, 4♦, 10♥, Q♥ [6♥]",2022-07-31T03:51:47.329Z,165923950732900
"""Breezy @ _8CiDq023a"" checks",2022-07-31T03:51:46.495Z,165923950649500
"""Deckhole @ 3URETjsK60"" checks",2022-07-31T03:51:43.811Z,165923950381100
"Turn: J♦, 4♦, 10♥ [Q♥]",2022-07-31T03:51:41.584Z,165923950158400
"""Deckhole @ 3URETjsK60"" calls 1.05",2022-07-31T03:51:40.769Z,165923950076900
"""TLS33 @ tfHtIxkcZq"" folds",2022-07-31T03:51:36.975Z,165923949697500
"""Breezy @ _8CiDq023a"" bets 1.05",2022-07-31T03:51:32.229Z,165923949222900
"""Deckhole @ 3URETjsK60"" checks",2022-07-31T03:51:19.358Z,165923947935800
"""TLS33 @ tfHtIxkcZq"" checks",2022-07-31T03:51:17.170Z,165923947717000
"Flop:  [J♦, 4♦, 10♥]",2022-07-31T03:51:14.462Z,165923947446200
"""Deckhole @ 3URETjsK60"" calls 0.70",2022-07-31T03:51:13.614Z,165923947361400
"""TLS33 @ tfHtIxkcZq"" calls 0.70",2022-07-31T03:51:09.267Z,165923946926700
"""Breezy @ _8CiDq023a"" raises to 0.70",2022-07-31T03:51:06.783Z,165923946678300
"""Deckhole @ 3URETjsK60"" posts a big blind of 0.25",2022-07-31T03:50:50.440Z,165923945044006
"""TLS33 @ tfHtIxkcZq"" posts a small blind of 0.10",2022-07-31T03:50:50.440Z,165923945044005
