entry,at,order
"The player ""K Godel @ TN11URmFSv"" stand up with the stack of 107.46.",2022-11-20T06:59:57.517Z,166892759751701
"The player ""Deckhole @ 3URETjsK60"" stand up with the stack of 476.77.",2022-11-20T06:59:57.517Z,166892759751700
"-- ending hand #386 --",2022-11-20T06:59:54.518Z,166892759451802
"""K Godel @ TN11URmFSv"" collected 1.00 from pot",2022-11-20T06:59:54.518Z,166892759451801
"Uncalled bet of 1.00 returned to ""K Godel @ TN11URmFSv""",2022-11-20T06:59:54.518Z,166892759451800
"""Deckhole @ 3URETjsK60"" folds",2022-11-20T06:59:53.614Z,166892759361400
"""K Godel @ TN11URmFSv"" raises to 1.50",2022-11-20T06:59:52.767Z,166892759276700
"""Deckhole @ 3URETjsK60"" posts a big blind of 0.50",2022-11-20T06:59:46.109Z,166892758610906
"""K Godel @ TN11URmFSv"" posts a small blind of 0.25",2022-11-20T06:59:46.109Z,166892758610905
"Your hand is 7♠, 6♦, 10♣, 9♦",2022-11-20T06:59:46.109Z,166892758610904
"Player stacks: #3 ""Deckhole @ 3URETjsK60"" (477.27) | #8 ""K Godel @ TN11URmFSv"" (106.96)",2022-11-20T06:59:46.109Z,166892758610902
"-- starting hand #386 (id: cjvctlftjihz)  (Pot Limit Omaha Hi) (dealer: ""K Godel @ TN11URmFSv"") --",2022-11-20T06:59:46.109Z,166892758610901
"The player ""lynn @ qRLMfzBQ8s"" stand up with the stack of 85.29.",2022-11-20T06:59:46.109Z,166892758610900
"-- ending hand #385 --",2022-11-20T06:59:40.101Z,166892758010103
"""lynn @ qRLMfzBQ8s"" shows a 5♥, 7♥, 2♠, A♥.",2022-11-20T06:59:40.101Z,166892758010102
"""Deckhole @ 3URETjsK60"" collected 4.75 from pot with Two Pair (combination: 8♣, 8♦, 3♦, 3♥, A♠)",2022-11-20T06:59:40.101Z,166892758010101
"""Deckhole @ 3URETjsK60"" shows a 8♣, 5♣, 4♦, A♠.",2022-11-20T06:59:40.101Z,166892758010100
"""Deckhole @ 3URETjsK60"" checks",2022-11-20T06:59:39.233Z,166892757923300
"""lynn @ qRLMfzBQ8s"" checks",2022-11-20T06:59:37.564Z,166892757756400
"River: K♦, 3♦, 8♦, 7♦ [3♥]",2022-11-20T06:59:24.299Z,166892756429900
"""Deckhole @ 3URETjsK60"" checks",2022-11-20T06:59:23.395Z,166892756339500
"""lynn @ qRLMfzBQ8s"" checks",2022-11-20T06:59:19.478Z,166892755947800
"Turn: K♦, 3♦, 8♦ [7♦]",2022-11-20T06:59:17.185Z,166892755718500
"""Deckhole @ 3URETjsK60"" calls 0.50",2022-11-20T06:59:16.309Z,166892755630900
"""lynn @ qRLMfzBQ8s"" bets 0.50",2022-11-20T06:58:51.588Z,166892753158800
"Flop:  [K♦, 3♦, 8♦]",2022-11-20T06:58:46.172Z,166892752617200
"""lynn @ qRLMfzBQ8s"" calls 1.75",2022-11-20T06:58:45.328Z,166892752532800
"""K Godel @ TN11URmFSv"" folds",2022-11-20T06:58:42.091Z,166892752209100
"""Deckhole @ 3URETjsK60"" raises to 1.75",2022-11-20T06:58:33.455Z,166892751345500
