entry,at,order
"The player ""Deckhole @ _yf6aQFJyI"" stand up with the stack of 205.94.",2022-07-17T06:10:57.668Z,165803825766800
"-- ending hand #273 --",2022-07-17T06:10:54.671Z,165803825467102
"""K Godel @ Di5cxDUTF9"" collected 40.50 from pot",2022-07-17T06:10:54.671Z,165803825467101
"Uncalled bet of 16.30 returned to ""K Godel @ Di5cxDUTF9""",2022-07-17T06:10:54.671Z,165803825467100
"""Deckhole @ _yf6aQFJyI"" folds",2022-07-17T06:10:53.803Z,165803825380300
"""K Godel @ Di5cxDUTF9"" raises to 32.05 and go all in",2022-07-17T06:10:10.332Z,165803821033200
"""Deckhole @ _yf6aQFJyI"" raises to 15.75",2022-07-17T06:09:58.924Z,165803819892400
"""K Godel @ Di5cxDUTF9"" bets 6.75",2022-07-17T06:09:40.221Z,165803818022100
"""Deckhole @ _yf6aQFJyI"" checks",2022-07-17T06:09:35.100Z,165803817510000
"Turn: 5♦, 9♣, 2♣ [K♣]",2022-07-17T06:09:26.192Z,165803816619200
"""K Godel @ Di5cxDUTF9"" calls 2.25",2022-07-17T06:09:25.357Z,165803816535700
"""Deckhole @ _yf6aQFJyI"" bets 2.25",2022-07-17T06:09:18.355Z,165803815835500
"Flop:  [5♦, 9♣, 2♣]",2022-07-17T06:09:10.386Z,165803815038600
"""K Godel @ Di5cxDUTF9"" calls 2.25",2022-07-17T06:09:09.474Z,165803814947400
"""Deckhole @ _yf6aQFJyI"" raises to 2.25",2022-07-17T06:09:07.669Z,165803814766900
"""K Godel @ Di5cxDUTF9"" raises to 0.75",2022-07-17T06:09:03.895Z,165803814389500
"""Deckhole @ _yf6aQFJyI"" posts a big blind of 0.25",2022-07-17T06:09:00.572Z,165803814057205
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.10",2022-07-17T06:09:00.572Z,165803814057204
"Your hand is 6♠, A♣, 8♥, 7♣",2022-07-17T06:09:00.572Z,165803814057203
"Player stacks: #1 ""Deckhole @ _yf6aQFJyI"" (226.19) | #6 ""K Godel @ Di5cxDUTF9"" (36.55)",2022-07-17T06:09:00.572Z,165803814057201
"-- starting hand #273  (Pot Limit Omaha Hi) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-07-17T06:09:00.572Z,165803814057200
"-- ending hand #272 --",2022-07-17T06:08:57.570Z,165803813757002
"""Deckhole @ _yf6aQFJyI"" collected 0.50 from pot",2022-07-17T06:08:57.570Z,165803813757001
"Uncalled bet of 0.50 returned to ""Deckhole @ _yf6aQFJyI""",2022-07-17T06:08:57.570Z,165803813757000
"""K Godel @ Di5cxDUTF9"" folds",2022-07-17T06:08:56.732Z,165803813673200
"""Deckhole @ _yf6aQFJyI"" raises to 0.75",2022-07-17T06:08:43.094Z,165803812309400
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.25",2022-07-17T06:08:39.454Z,165803811945405
"""Deckhole @ _yf6aQFJyI"" posts a small blind of 0.10",2022-07-17T06:08:39.454Z,165803811945404
"Your hand is 4♥, 9♦, 8♠, Q♣",2022-07-17T06:08:39.454Z,165803811945403
"Player stacks: #1 ""Deckhole @ _yf6aQFJyI"" (225.94) | #6 ""K Godel @ Di5cxDUTF9"" (36.80)",2022-07-17T06:08:39.454Z,165803811945401
"-- starting hand #272  (Pot Limit Omaha Hi) (dealer: ""Deckhole @ _yf6aQFJyI"") --",2022-07-17T06:08:39.454Z,165803811945400
"-- ending hand #271 --",2022-07-17T06:08:33.443Z,165803811344302
