entry,at,order
"The player ""K Godel @ Di5cxDUTF9"" stand up with the stack of 41.19.",2022-03-27T04:06:30.601Z,164835399060100
"-- ending hand #199 --",2022-03-27T04:06:27.600Z,164835398760002
"""Deckhole @ _yf6aQFJyI"" collected 0.50 from pot",2022-03-27T04:06:27.600Z,164835398760001
"Uncalled bet of 0.50 returned to ""Deckhole @ _yf6aQFJyI""",2022-03-27T04:06:27.600Z,164835398760000
"""K Godel @ Di5cxDUTF9"" folds",2022-03-27T04:06:26.713Z,164835398671300
"""Deckhole @ _yf6aQFJyI"" raises to 0.75",2022-03-27T04:06:22.447Z,164835398244700
"The admin ""Deckhole @ _yf6aQFJyI"" enqueued the game stop on next hand.",2022-03-27T04:06:19.806Z,164835397980600
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.25",2022-03-27T04:06:07.492Z,164835396749205
"""Deckhole @ _yf6aQFJyI"" posts a small blind of 0.10",2022-03-27T04:06:07.492Z,164835396749204
"Your hand is J♥, 3♣, 9♦, K♠",2022-03-27T04:06:07.492Z,164835396749203
"Player stacks: #1 ""Deckhole @ _yf6aQFJyI"" (227.26) | #3 ""K Godel @ Di5cxDUTF9"" (41.44)",2022-03-27T04:06:07.492Z,164835396749201
"-- starting hand #199  (Pot Limit Omaha Hi) (dealer: ""Deckhole @ _yf6aQFJyI"") --",2022-03-27T04:06:07.492Z,164835396749200
"-- ending hand #198 --",2022-03-27T04:05:59.483Z,164835395948302
"""K Godel @ Di5cxDUTF9"" collected 20.72 from pot with Straight on the second run  (combination: A♥, K♣, Q♠, J♠, 10♣)",2022-03-27T04:05:59.483Z,164835395948301
"""K Godel @ Di5cxDUTF9"" collected 20.72 from pot with Straight (combination: A♥, K♣, Q♠, J♠, 10♣)",2022-03-27T04:05:59.483Z,164835395948300
"River (second run): J♠, K♣, 10♣, 2♠ [8♥]",2022-03-27T04:05:55.371Z,164835395537100
"River: J♠, K♣, 10♣, 2♠ [8♦]",2022-03-27T04:05:51.281Z,164835395128100
"""K Godel @ Di5cxDUTF9"" shows a A♥, Q♠, 3♦, 6♥.",2022-03-27T04:05:47.170Z,164835394717001
"""Deckhole @ _yf6aQFJyI"" shows a 8♠, 9♥, 2♣, Q♣.",2022-03-27T04:05:47.170Z,164835394717000
"All players in hand choose to run it twice.",2022-03-27T04:05:46.287Z,164835394628701
"""K Godel @ Di5cxDUTF9"" chooses to  run it twice.",2022-03-27T04:05:46.287Z,164835394628700
"""Deckhole @ _yf6aQFJyI"" chooses to  run it twice.",2022-03-27T04:05:40.886Z,164835394088600
"Remaining players decide whether to run it twice.",2022-03-27T04:05:39.365Z,164835393936501
"""K Godel @ Di5cxDUTF9"" calls 19.22 and go all in",2022-03-27T04:05:39.365Z,164835393936500
"""Deckhole @ _yf6aQFJyI"" raises to 19.22",2022-03-27T04:05:37.557Z,164835393755700
"""K Godel @ Di5cxDUTF9"" raises to 12.00",2022-03-27T04:05:31.805Z,164835393180500
"""Deckhole @ _yf6aQFJyI"" bets 3.00",2022-03-27T04:05:28.250Z,164835392825000
"Turn: J♠, K♣, 10♣ [2♠]",2022-03-27T04:05:22.955Z,164835392295500
"""K Godel @ Di5cxDUTF9"" calls 0.75",2022-03-27T04:05:22.095Z,164835392209500
"""Deckhole @ _yf6aQFJyI"" bets 0.75",2022-03-27T04:05:18.973Z,164835391897300
"Flop:  [J♠, K♣, 10♣]",2022-03-27T04:05:10.848Z,164835391084800
"""Deckhole @ _yf6aQFJyI"" calls 0.75",2022-03-27T04:05:09.948Z,164835390994800
"""K Godel @ Di5cxDUTF9"" raises to 0.75",2022-03-27T04:05:08.378Z,164835390837800
"""Deckhole @ _yf6aQFJyI"" posts a big blind of 0.25",2022-03-27T04:05:04.140Z,164835390414005
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.10",2022-03-27T04:05:04.140Z,164835390414004
"Your hand is A♥, Q♠, 3♦, 6♥",2022-03-27T04:05:04.140Z,164835390414003
"Player stacks: #1 ""Deckhole @ _yf6aQFJyI"" (247.98) | #3 ""K Godel @ Di5cxDUTF9"" (20.72)",2022-03-27T04:05:04.140Z,164835390414001
"-- starting hand #198  (Pot Limit Omaha Hi) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-03-27T04:05:04.140Z,164835390414000
"-- ending hand #197 --",2022-03-27T04:05:01.164Z,164835390116402
"""Deckhole @ _yf6aQFJyI"" collected 0.50 from pot",2022-03-27T04:05:01.164Z,164835390116401
"Uncalled bet of 0.50 returned to ""Deckhole @ _yf6aQFJyI""",2022-03-27T04:05:01.164Z,164835390116400
"""K Godel @ Di5cxDUTF9"" folds",2022-03-27T04:05:00.301Z,164835390030100
"""Deckhole @ _yf6aQFJyI"" raises to 0.75",2022-03-27T04:04:50.122Z,164835389012200
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.25",2022-03-27T04:04:46.822Z,164835388682205
"""Deckhole @ _yf6aQFJyI"" posts a small blind of 0.10",2022-03-27T04:04:46.822Z,164835388682204
"Your hand is 2♥, 6♦, A♠, 10♥",2022-03-27T04:04:46.822Z,164835388682203
"Player stacks: #1 ""Deckhole @ _yf6aQFJyI"" (247.73) | #3 ""K Godel @ Di5cxDUTF9"" (20.97)",2022-03-27T04:04:46.822Z,164835388682201
"-- starting hand #197  (Pot Limit Omaha Hi) (dealer: ""Deckhole @ _yf6aQFJyI"") --",2022-03-27T04:04:46.822Z,164835388682200
"-- ending hand #196 --",2022-03-27T04:04:43.822Z,164835388382202
"""Deckhole @ _yf6aQFJyI"" collected 4.50 from pot",2022-03-27T04:04:43.822Z,164835388382201
"Uncalled bet of 2.25 returned to ""Deckhole @ _yf6aQFJyI""",2022-03-27T04:04:43.822Z,164835388382200
"""K Godel @ Di5cxDUTF9"" folds",2022-03-27T04:04:42.939Z,164835388293900
"""Deckhole @ _yf6aQFJyI"" bets 2.25",2022-03-27T04:04:37.952Z,164835387795200
"Turn: 4♣, 10♠, 2♠ [A♥]",2022-03-27T04:04:31.718Z,164835387171800
"""K Godel @ Di5cxDUTF9"" checks",2022-03-27T04:04:30.855Z,164835387085500
"""Deckhole @ _yf6aQFJyI"" checks",2022-03-27T04:04:28.922Z,164835386892200
"Flop:  [4♣, 10♠, 2♠]",2022-03-27T04:04:22.202Z,164835386220200
"""K Godel @ Di5cxDUTF9"" calls 2.25",2022-03-27T04:04:21.373Z,164835386137300
"""Deckhole @ _yf6aQFJyI"" raises to 2.25",2022-03-27T04:04:17.876Z,164835385787600
"""K Godel @ Di5cxDUTF9"" raises to 0.75",2022-03-27T04:04:14.762Z,164835385476200
"""Deckhole @ _yf6aQFJyI"" posts a big blind of 0.25",2022-03-27T04:04:11.120Z,164835385112005
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.10",2022-03-27T04:04:11.120Z,164835385112004
"Your hand is K♥, 8♥, 6♥, 9♠",2022-03-27T04:04:11.120Z,164835385112003
"Player stacks: #1 ""Deckhole @ _yf6aQFJyI"" (245.48) | #3 ""K Godel @ Di5cxDUTF9"" (23.22)",2022-03-27T04:04:11.120Z,164835385112001
"-- starting hand #196  (Pot Limit Omaha Hi) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-03-27T04:04:11.120Z,164835385112000
"-- ending hand #195 --",2022-03-27T04:04:08.186Z,164835384818602
"""Deckhole @ _yf6aQFJyI"" collected 0.50 from pot",2022-03-27T04:04:08.186Z,164835384818601
"Uncalled bet of 0.50 returned to ""Deckhole @ _yf6aQFJyI""",2022-03-27T04:04:08.186Z,164835384818600
"""K Godel @ Di5cxDUTF9"" folds",2022-03-27T04:04:07.325Z,164835384732500
"""Deckhole @ _yf6aQFJyI"" raises to 0.75",2022-03-27T04:03:42.930Z,164835382293000
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.25",2022-03-27T04:03:39.894Z,164835381989405
"""Deckhole @ _yf6aQFJyI"" posts a small blind of 0.10",2022-03-27T04:03:39.894Z,164835381989404
"Your hand is 3♠, 10♣, 5♦, 6♥",2022-03-27T04:03:39.894Z,164835381989403
"Player stacks: #1 ""Deckhole @ _yf6aQFJyI"" (245.23) | #3 ""K Godel @ Di5cxDUTF9"" (23.47)",2022-03-27T04:03:39.894Z,164835381989401
"-- starting hand #195  (Pot Limit Omaha Hi) (dealer: ""Deckhole @ _yf6aQFJyI"") --",2022-03-27T04:03:39.894Z,164835381989400
"-- ending hand #194 --",2022-03-27T04:03:36.963Z,164835381696302
"""Deckhole @ _yf6aQFJyI"" collected 0.20 from pot",2022-03-27T04:03:36.963Z,164835381696301
"Uncalled bet of 0.15 returned to ""Deckhole @ _yf6aQFJyI""",2022-03-27T04:03:36.963Z,164835381696300
"""K Godel @ Di5cxDUTF9"" folds",2022-03-27T04:03:36.148Z,164835381614800
"""Deckhole @ _yf6aQFJyI"" posts a big blind of 0.25",2022-03-27T04:03:20.461Z,164835380046105
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.10",2022-03-27T04:03:20.461Z,164835380046104
"Your hand is 5♦, 8♥, Q♣, 3♠",2022-03-27T04:03:20.461Z,164835380046103
"Player stacks: #1 ""Deckhole @ _yf6aQFJyI"" (245.13) | #3 ""K Godel @ Di5cxDUTF9"" (23.57)",2022-03-27T04:03:20.461Z,164835380046101
"-- starting hand #194  (Pot Limit Omaha Hi) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-03-27T04:03:20.461Z,164835380046100
"-- ending hand #193 --",2022-03-27T04:03:17.548Z,164835379754802
"""Deckhole @ _yf6aQFJyI"" collected 0.50 from pot",2022-03-27T04:03:17.548Z,164835379754801
"Uncalled bet of 0.50 returned to ""Deckhole @ _yf6aQFJyI""",2022-03-27T04:03:17.548Z,164835379754800
"""K Godel @ Di5cxDUTF9"" folds",2022-03-27T04:03:16.736Z,164835379673600
"""Deckhole @ _yf6aQFJyI"" raises to 0.75",2022-03-27T04:03:14.955Z,164835379495500
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.25",2022-03-27T04:03:08.341Z,164835378834105
"""Deckhole @ _yf6aQFJyI"" posts a small blind of 0.10",2022-03-27T04:03:08.341Z,164835378834104
"Your hand is 5♥, 5♣, 9♥, Q♠",2022-03-27T04:03:08.341Z,164835378834103
