entry,at,order
"The player ""K Godel @ Di5cxDUTF9"" stand up with the stack of 7.36.",2022-04-04T03:06:27.669Z,164904158766900
"""Malarkey @ Ia-cNlUwV8"" shows a J♠, Q♠.",2022-04-04T03:06:24.688Z,164904158468800
"-- ending hand #103 --",2022-04-04T03:06:23.953Z,164904158395302
"""Malarkey @ Ia-cNlUwV8"" collected 0.12 from pot",2022-04-04T03:06:23.953Z,164904158395301
"Uncalled bet of 0.09 returned to ""Malarkey @ Ia-cNlUwV8""",2022-04-04T03:06:23.953Z,164904158395300
"""K Godel @ Di5cxDUTF9"" folds",2022-04-04T03:06:23.113Z,164904158311300
"""Malarkey @ Ia-cNlUwV8"" bets 0.09",2022-04-04T03:06:19.886Z,164904157988600
"""K Godel @ Di5cxDUTF9"" checks",2022-04-04T03:06:15.075Z,164904157507500
"Flop:  [6♣, 7♦, J♦]",2022-04-04T03:06:11.258Z,164904157125800
"""K Godel @ Di5cxDUTF9"" calls 0.06",2022-04-04T03:06:10.377Z,164904157037700
"""Malarkey @ Ia-cNlUwV8"" raises to 0.06",2022-04-04T03:06:01.896Z,164904156189600
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.02",2022-04-04T03:05:58.576Z,164904155857607
"""Malarkey @ Ia-cNlUwV8"" posts a small blind of 0.01",2022-04-04T03:05:58.576Z,164904155857606
"Your hand is 4♣, K♣",2022-04-04T03:05:58.576Z,164904155857604
"Player stacks: #2 ""K Godel @ Di5cxDUTF9"" (7.42) | #10 ""Malarkey @ Ia-cNlUwV8"" (3.88)",2022-04-04T03:05:58.576Z,164904155857603
"-- starting hand #103  (No Limit Texas Hold'em) (dealer: ""Malarkey @ Ia-cNlUwV8"") --",2022-04-04T03:05:58.576Z,164904155857602
"The player ""jean @ _qaxMUlwNf"" quits the game with a stack of 2.17.",2022-04-04T03:05:58.576Z,164904155857601
"The player ""Lori @ T4dnUDNjdJ"" stand up with the stack of 2.44.",2022-04-04T03:05:58.576Z,164904155857600
"""K Godel @ Di5cxDUTF9"" shows a 4♥, 4♠.",2022-04-04T03:05:57.268Z,164904155726800
"""Malarkey @ Ia-cNlUwV8"" shows a 10♠, Q♠.",2022-04-04T03:05:55.963Z,164904155596300
"-- ending hand #102 --",2022-04-04T03:05:54.245Z,164904155424502
"""Malarkey @ Ia-cNlUwV8"" collected 0.17 from pot",2022-04-04T03:05:54.245Z,164904155424501
"Uncalled bet of 0.08 returned to ""Malarkey @ Ia-cNlUwV8""",2022-04-04T03:05:54.245Z,164904155424500
"""K Godel @ Di5cxDUTF9"" folds",2022-04-04T03:05:53.370Z,164904155337000
"The admin ""K Godel @ Di5cxDUTF9"" forced the player ""Lori @ T4dnUDNjdJ"" to away mode in the next hand.",2022-04-04T03:05:38.940Z,164904153894000
"""Malarkey @ Ia-cNlUwV8"" bets 0.08",2022-04-04T03:05:17.991Z,164904151799100
"Turn: 7♥, 10♣, A♦ [3♠]",2022-04-04T03:05:14.648Z,164904151464800
"""K Godel @ Di5cxDUTF9"" checks",2022-04-04T03:05:13.774Z,164904151377400
"""Malarkey @ Ia-cNlUwV8"" checks",2022-04-04T03:05:05.669Z,164904150566900
"Flop:  [7♥, 10♣, A♦]",2022-04-04T03:04:58.572Z,164904149857200
"""Lori @ T4dnUDNjdJ"" folds",2022-04-04T03:04:57.672Z,164904149767200
"""jean @ _qaxMUlwNf"" folds",2022-04-04T03:04:26.828Z,164904146682800
"""K Godel @ Di5cxDUTF9"" calls 0.07",2022-04-04T03:04:25.851Z,164904146585100
"""Malarkey @ Ia-cNlUwV8"" raises to 0.07",2022-04-04T03:04:21.512Z,164904146151200
"""Lori @ T4dnUDNjdJ"" posts a big blind of 0.02",2022-04-04T03:04:18.357Z,164904145835707
"""jean @ _qaxMUlwNf"" posts a small blind of 0.01",2022-04-04T03:04:18.357Z,164904145835706
"Your hand is 4♥, 4♠",2022-04-04T03:04:18.357Z,164904145835702
"Player stacks: #2 ""K Godel @ Di5cxDUTF9"" (7.49) | #6 ""jean @ _qaxMUlwNf"" (2.18) | #8 ""Lori @ T4dnUDNjdJ"" (2.46) | #10 ""Malarkey @ Ia-cNlUwV8"" (3.78)",2022-04-04T03:04:18.357Z,164904145835701
"-- starting hand #102  (No Limit Texas Hold'em) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-04-04T03:04:18.357Z,164904145835700
"-- ending hand #101 --",2022-04-04T03:04:09.335Z,164904144933503
"""jean @ _qaxMUlwNf"" shows a 8♥, 8♣.",2022-04-04T03:04:09.335Z,164904144933502
"""Malarkey @ Ia-cNlUwV8"" collected 0.29 from pot with Two Pair, 9's & 3's (combination: 9♠, 9♣, 3♠, 3♥, A♠)",2022-04-04T03:04:09.335Z,164904144933501
"""Malarkey @ Ia-cNlUwV8"" shows a 10♥, 9♠.",2022-04-04T03:04:09.335Z,164904144933500
"""Malarkey @ Ia-cNlUwV8"" checks",2022-04-04T03:04:08.435Z,164904144843500
"""jean @ _qaxMUlwNf"" checks",2022-04-04T03:04:07.159Z,164904144715900
"River: A♠, 9♣, 3♠, 3♥ [Q♣]",2022-04-04T03:04:02.823Z,164904144282300
"""Malarkey @ Ia-cNlUwV8"" checks",2022-04-04T03:04:01.939Z,164904144193900
"""jean @ _qaxMUlwNf"" checks",2022-04-04T03:04:00.359Z,164904144035900
"Turn: A♠, 9♣, 3♠ [3♥]",2022-04-04T03:03:56.053Z,164904143605300
"""jean @ _qaxMUlwNf"" calls 0.07",2022-04-04T03:03:55.173Z,164904143517300
"""Malarkey @ Ia-cNlUwV8"" bets 0.07",2022-04-04T03:03:53.407Z,164904143340700
"""jean @ _qaxMUlwNf"" checks",2022-04-04T03:03:50.461Z,164904143046100
"Flop:  [A♠, 9♣, 3♠]",2022-04-04T03:03:46.736Z,164904142673600
"""jean @ _qaxMUlwNf"" calls 0.07",2022-04-04T03:03:45.907Z,164904142590700
"""K Godel @ Di5cxDUTF9"" folds",2022-04-04T03:03:41.527Z,164904142152700
"""Malarkey @ Ia-cNlUwV8"" raises to 0.07",2022-04-04T03:03:40.593Z,164904142059300
"""Lori @ T4dnUDNjdJ"" folds",2022-04-04T03:03:37.309Z,164904141730900
"""jean @ _qaxMUlwNf"" posts a big blind of 0.02",2022-04-04T03:03:33.424Z,164904141342407
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.01",2022-04-04T03:03:33.424Z,164904141342406
"Your hand is Q♥, 2♠",2022-04-04T03:03:33.424Z,164904141342402
"Player stacks: #2 ""K Godel @ Di5cxDUTF9"" (7.50) | #6 ""jean @ _qaxMUlwNf"" (2.32) | #8 ""Lori @ T4dnUDNjdJ"" (2.46) | #10 ""Malarkey @ Ia-cNlUwV8"" (3.63)",2022-04-04T03:03:33.424Z,164904141342401
"-- starting hand #101  (No Limit Texas Hold'em) (dealer: ""Malarkey @ Ia-cNlUwV8"") --",2022-04-04T03:03:33.424Z,164904141342400
"-- ending hand #100 --",2022-04-04T03:03:24.323Z,164904140432303
"""jean @ _qaxMUlwNf"" shows a Q♠, Q♥.",2022-04-04T03:03:24.323Z,164904140432302
"""Lori @ T4dnUDNjdJ"" collected 0.97 from pot with Three of a Kind, J's (combination: J♦, J♥, J♠, K♦, 8♣)",2022-04-04T03:03:24.323Z,164904140432301
"""Lori @ T4dnUDNjdJ"" shows a J♦, J♥.",2022-04-04T03:03:24.323Z,164904140432300
"""Lori @ T4dnUDNjdJ"" calls 0.16",2022-04-04T03:03:23.485Z,164904140348500
"""jean @ _qaxMUlwNf"" bets 0.16",2022-04-04T03:03:17.792Z,164904139779200
"River: 4♦, J♠, 8♣, 3♣ [K♦]",2022-04-04T03:03:07.811Z,164904138781100
"""Lori @ T4dnUDNjdJ"" calls 0.16",2022-04-04T03:03:06.943Z,164904138694300
"""jean @ _qaxMUlwNf"" bets 0.16",2022-04-04T03:03:00.197Z,164904138019700
"Turn: 4♦, J♠, 8♣ [3♣]",2022-04-04T03:02:52.521Z,164904137252100
"""Lori @ T4dnUDNjdJ"" calls 0.08",2022-04-04T03:02:51.625Z,164904137162500
"""jean @ _qaxMUlwNf"" bets 0.08",2022-04-04T03:02:46.552Z,164904136655200
"Flop:  [4♦, J♠, 8♣]",2022-04-04T03:02:38.718Z,164904135871800
"""K Godel @ Di5cxDUTF9"" folds",2022-04-04T03:02:37.898Z,164904135789800
"""Malarkey @ Ia-cNlUwV8"" folds",2022-04-04T03:02:36.962Z,164904135696200
"""Lori @ T4dnUDNjdJ"" calls 0.07",2022-04-04T03:02:36.091Z,164904135609100
"""jean @ _qaxMUlwNf"" raises to 0.07",2022-04-04T03:02:31.278Z,164904135127800
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.02",2022-04-04T03:02:22.590Z,164904134259007
"""Malarkey @ Ia-cNlUwV8"" posts a small blind of 0.01",2022-04-04T03:02:22.590Z,164904134259006
"Your hand is 6♠, 10♥",2022-04-04T03:02:22.590Z,164904134259002
"Player stacks: #2 ""K Godel @ Di5cxDUTF9"" (7.52) | #6 ""jean @ _qaxMUlwNf"" (2.79) | #8 ""Lori @ T4dnUDNjdJ"" (1.96) | #10 ""Malarkey @ Ia-cNlUwV8"" (3.64)",2022-04-04T03:02:22.590Z,164904134259001
"-- starting hand #100  (No Limit Texas Hold'em) (dealer: ""Lori @ T4dnUDNjdJ"") --",2022-04-04T03:02:22.590Z,164904134259000
"""Lori @ T4dnUDNjdJ"" shows a 7♦, 2♣.",2022-04-04T03:02:16.932Z,164904133693200
