entry,at,order
"The player ""K Godel @ Di5cxDUTF9"" quits the game with a stack of 0.00.",2022-03-19T06:08:30.605Z,164767011060500
"-- ending hand #298 --",2022-03-19T06:08:24.587Z,164767010458701
"""Deckhole @ _yf6aQFJyI"" collected 3.78 from pot with Three of a Kind (combination: 3♠, 3♥, 3♣, Q♠, 10♦)",2022-03-19T06:08:24.587Z,164767010458700
"River: 2♥, 6♠, 10♦, 3♣ [Q♠]",2022-03-19T06:08:20.488Z,164767010048800
"Turn: 2♥, 6♠, 10♦ [3♣]",2022-03-19T06:08:16.383Z,164767009638300
"Flop:  [2♥, 6♠, 10♦]",2022-03-19T06:08:12.288Z,164767009228800
"""K Godel @ Di5cxDUTF9"" shows a 4♠, 9♣, J♦, 10♠.",2022-03-19T06:08:08.280Z,164767008828001
"""Deckhole @ _yf6aQFJyI"" shows a K♥, 3♠, 8♦, 3♥.",2022-03-19T06:08:08.280Z,164767008828000
"""K Godel @ Di5cxDUTF9"" shows a 4♠, 9♣, J♦, 10♠.",2022-03-19T06:08:07.598Z,164767008759800
"Some players choose to not run it twice.",2022-03-19T06:08:07.414Z,164767008741401
"""Deckhole @ _yf6aQFJyI"" chooses to not run it twice.",2022-03-19T06:08:07.414Z,164767008741400
"Remaining players decide whether to run it twice.",2022-03-19T06:08:05.574Z,164767008557401
"""Deckhole @ _yf6aQFJyI"" calls 1.89",2022-03-19T06:08:05.574Z,164767008557400
"""K Godel @ Di5cxDUTF9"" raises to 1.89 and go all in",2022-03-19T06:08:03.624Z,164767008362400
"""Deckhole @ _yf6aQFJyI"" raises to 0.75",2022-03-19T06:07:56.714Z,164767007671400
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.25",2022-03-19T06:07:52.366Z,164767007236605
"""Deckhole @ _yf6aQFJyI"" posts a small blind of 0.10",2022-03-19T06:07:52.366Z,164767007236604
"Your hand is 4♠, 9♣, J♦, 10♠",2022-03-19T06:07:52.366Z,164767007236603
"Player stacks: #7 ""Deckhole @ _yf6aQFJyI"" (220.58) | #8 ""K Godel @ Di5cxDUTF9"" (1.89)",2022-03-19T06:07:52.366Z,164767007236601
"-- starting hand #298  (Pot Limit Omaha Hi) (dealer: ""Deckhole @ _yf6aQFJyI"") --",2022-03-19T06:07:52.366Z,164767007236600
"-- ending hand #297 --",2022-03-19T06:07:49.362Z,164767006936202
"""Deckhole @ _yf6aQFJyI"" collected 1.50 from pot",2022-03-19T06:07:49.362Z,164767006936201
"Uncalled bet of 1.50 returned to ""Deckhole @ _yf6aQFJyI""",2022-03-19T06:07:49.362Z,164767006936200
"""K Godel @ Di5cxDUTF9"" folds",2022-03-19T06:07:48.453Z,164767006845300
"""Deckhole @ _yf6aQFJyI"" bets 1.50",2022-03-19T06:07:47.255Z,164767006725500
"Flop:  [2♦, 8♥, A♥]",2022-03-19T06:07:41.559Z,164767006155900
"""Deckhole @ _yf6aQFJyI"" calls 0.75",2022-03-19T06:07:40.675Z,164767006067500
"""K Godel @ Di5cxDUTF9"" raises to 0.75",2022-03-19T06:07:37.338Z,164767005733800
"""Deckhole @ _yf6aQFJyI"" posts a big blind of 0.25",2022-03-19T06:07:31.363Z,164767005136305
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.10",2022-03-19T06:07:31.363Z,164767005136304
"Your hand is 7♥, 3♠, Q♦, 4♦",2022-03-19T06:07:31.363Z,164767005136303
"Player stacks: #7 ""Deckhole @ _yf6aQFJyI"" (219.83) | #8 ""K Godel @ Di5cxDUTF9"" (2.64)",2022-03-19T06:07:31.363Z,164767005136301
"-- starting hand #297  (Pot Limit Omaha Hi) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-03-19T06:07:31.363Z,164767005136300
"-- ending hand #296 --",2022-03-19T06:07:28.355Z,164767004835502
"""Deckhole @ _yf6aQFJyI"" collected 1.50 from pot",2022-03-19T06:07:28.355Z,164767004835501
"Uncalled bet of 0.75 returned to ""Deckhole @ _yf6aQFJyI""",2022-03-19T06:07:28.355Z,164767004835500
"""K Godel @ Di5cxDUTF9"" folds",2022-03-19T06:07:27.540Z,164767004754000
"""Deckhole @ _yf6aQFJyI"" bets 0.75",2022-03-19T06:07:21.040Z,164767004104000
"""K Godel @ Di5cxDUTF9"" checks",2022-03-19T06:07:14.130Z,164767003413000
"Flop:  [10♠, 5♣, 4♣]",2022-03-19T06:07:10.424Z,164767003042400
"""K Godel @ Di5cxDUTF9"" calls 0.75",2022-03-19T06:07:09.612Z,164767002961200
"""Deckhole @ _yf6aQFJyI"" raises to 0.75",2022-03-19T06:07:04.034Z,164767002403400
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.25",2022-03-19T06:07:00.931Z,164767002093105
