entry,at,order
"The player ""Poindexter @ _yf6aQFJyI"" passed the room ownership to ""SCOTT @ nj_yF1nN56"".",2022-05-04T03:46:19.038Z,165163597903800
"The player ""jean @ _qaxMUlwNf"" stand up with the stack of 1.01.",2022-05-04T03:32:28.072Z,165163514807200
"The player ""jean @ _qaxMUlwNf"" sit back with the stack of 1.01.",2022-05-04T03:31:56.730Z,165163511673000
"The player ""Vic @ 3awtGLkIPQ"" quits the game with a stack of 4.17.",2022-05-04T03:31:27.987Z,165163508798700
"The player ""jean @ _qaxMUlwNf"" stand up with the stack of 1.01.",2022-05-04T03:31:22.647Z,165163508264701
"The player ""K Godel @ Di5cxDUTF9"" stand up with the stack of 6.99.",2022-05-04T03:31:22.647Z,165163508264700
"-- ending hand #159 --",2022-05-04T03:31:19.645Z,165163507964502
"""K Godel @ Di5cxDUTF9"" collected 0.02 from pot",2022-05-04T03:31:19.645Z,165163507964501
"Uncalled bet of 0.01 returned to ""K Godel @ Di5cxDUTF9""",2022-05-04T03:31:19.645Z,165163507964500
"""jean @ _qaxMUlwNf"" folds",2022-05-04T03:31:18.742Z,165163507874200
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.02",2022-05-04T03:31:01.053Z,165163506105306
"""jean @ _qaxMUlwNf"" posts a small blind of 0.01",2022-05-04T03:31:01.053Z,165163506105305
"Your hand is 9♣, 4♣",2022-05-04T03:31:01.053Z,165163506105303
"Player stacks: #2 ""K Godel @ Di5cxDUTF9"" (6.98) | #3 ""jean @ _qaxMUlwNf"" (1.02)",2022-05-04T03:31:01.053Z,165163506105302
"-- starting hand #159  (No Limit Texas Hold'em) (dealer: ""jean @ _qaxMUlwNf"") --",2022-05-04T03:31:01.053Z,165163506105301
"The player ""Vic @ 3awtGLkIPQ"" stand up with the stack of 4.17.",2022-05-04T03:31:01.053Z,165163506105300
"""K Godel @ Di5cxDUTF9"" shows a 2♣, 4♥.",2022-05-04T03:30:56.134Z,165163505613400
"""jean @ _qaxMUlwNf"" shows a 10♦, 10♥.",2022-05-04T03:30:54.992Z,165163505499200
"""Vic @ 3awtGLkIPQ"" shows a 9♣, 9♦.",2022-05-04T03:30:53.817Z,165163505381700
"-- ending hand #158 --",2022-05-04T03:30:53.030Z,165163505303002
"""jean @ _qaxMUlwNf"" collected 0.32 from pot",2022-05-04T03:30:53.030Z,165163505303001
"Uncalled bet of 0.70 returned to ""jean @ _qaxMUlwNf""",2022-05-04T03:30:53.030Z,165163505303000
"""Vic @ 3awtGLkIPQ"" folds",2022-05-04T03:30:52.147Z,165163505214700
"""jean @ _qaxMUlwNf"" bets 0.70 and go all in",2022-05-04T03:30:45.793Z,165163504579300
"Flop:  [10♠, Q♥, 7♥]",2022-05-04T03:30:38.827Z,165163503882700
"""K Godel @ Di5cxDUTF9"" folds",2022-05-04T03:30:37.913Z,165163503791300
"""Vic @ 3awtGLkIPQ"" calls 0.14",2022-05-04T03:30:32.849Z,165163503284900
"""jean @ _qaxMUlwNf"" raises to 0.14",2022-05-04T03:30:31.832Z,165163503183200
"""K Godel @ Di5cxDUTF9"" posts a straddle of 0.04",2022-05-04T03:30:14.957Z,165163501495707
"""Vic @ 3awtGLkIPQ"" posts a big blind of 0.02",2022-05-04T03:30:14.957Z,165163501495706
"""jean @ _qaxMUlwNf"" posts a small blind of 0.01",2022-05-04T03:30:14.957Z,165163501495705
"Your hand is 2♣, 4♥",2022-05-04T03:30:14.957Z,165163501495702
"Player stacks: #2 ""K Godel @ Di5cxDUTF9"" (7.02) | #3 ""jean @ _qaxMUlwNf"" (0.84) | #5 ""Vic @ 3awtGLkIPQ"" (4.31)",2022-05-04T03:30:14.957Z,165163501495701
"-- starting hand #158  (No Limit Texas Hold'em) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-05-04T03:30:14.957Z,165163501495700
"""jean @ _qaxMUlwNf"" shows a 2♥, 2♦.",2022-05-04T03:30:09.534Z,165163500953400
"""Vic @ 3awtGLkIPQ"" shows a Q♦, 8♦.",2022-05-04T03:30:08.156Z,165163500815600
"""K Godel @ Di5cxDUTF9"" shows a 3♠, J♠.",2022-05-04T03:30:07.845Z,165163500784500
"-- ending hand #157 --",2022-05-04T03:30:06.930Z,165163500693002
"""jean @ _qaxMUlwNf"" collected 0.24 from pot",2022-05-04T03:30:06.930Z,165163500693001
"Uncalled bet of 0.24 returned to ""jean @ _qaxMUlwNf""",2022-05-04T03:30:06.930Z,165163500693000
"""K Godel @ Di5cxDUTF9"" folds",2022-05-04T03:30:06.098Z,165163500609800
"""Vic @ 3awtGLkIPQ"" folds",2022-05-04T03:30:05.155Z,165163500515500
"""jean @ _qaxMUlwNf"" bets 0.24",2022-05-04T03:30:00.054Z,165163500005400
"""K Godel @ Di5cxDUTF9"" checks",2022-05-04T03:29:54.896Z,165163499489600
"Flop:  [10♥, 10♣, 10♠]",2022-05-04T03:29:52.813Z,165163499281300
"""K Godel @ Di5cxDUTF9"" calls 0.08",2022-05-04T03:29:51.900Z,165163499190000
"""Vic @ 3awtGLkIPQ"" calls 0.08",2022-05-04T03:29:44.222Z,165163498422200
"""jean @ _qaxMUlwNf"" raises to 0.08",2022-05-04T03:29:40.731Z,165163498073100
"""K Godel @ Di5cxDUTF9"" calls 0.02",2022-05-04T03:29:32.648Z,165163497264800
"""Vic @ 3awtGLkIPQ"" calls 0.02",2022-05-04T03:29:28.979Z,165163496897900
"""jean @ _qaxMUlwNf"" posts a big blind of 0.02",2022-05-04T03:29:24.412Z,165163496441206
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.01",2022-05-04T03:29:24.412Z,165163496441205
"Your hand is 3♠, J♠",2022-05-04T03:29:24.412Z,165163496441202
"Player stacks: #2 ""K Godel @ Di5cxDUTF9"" (7.10) | #3 ""jean @ _qaxMUlwNf"" (0.68) | #5 ""Vic @ 3awtGLkIPQ"" (4.39)",2022-05-04T03:29:24.412Z,165163496441201
"-- starting hand #157  (No Limit Texas Hold'em) (dealer: ""Vic @ 3awtGLkIPQ"") --",2022-05-04T03:29:24.412Z,165163496441200
"-- ending hand #156 --",2022-05-04T03:29:21.403Z,165163496140302
"""jean @ _qaxMUlwNf"" collected 0.15 from pot",2022-05-04T03:29:21.403Z,165163496140301
"Uncalled bet of 0.15 returned to ""jean @ _qaxMUlwNf""",2022-05-04T03:29:21.403Z,165163496140300
"""K Godel @ Di5cxDUTF9"" folds",2022-05-04T03:29:20.498Z,165163496049800
"""jean @ _qaxMUlwNf"" bets 0.15",2022-05-04T03:29:05.772Z,165163494577200
"""K Godel @ Di5cxDUTF9"" checks",2022-05-04T03:29:00.261Z,165163494026100
"Flop:  [3♣, 6♦, A♣]",2022-05-04T03:28:53.462Z,165163493346200
"""K Godel @ Di5cxDUTF9"" calls 0.07",2022-05-04T03:28:52.595Z,165163493259500
"""Vic @ 3awtGLkIPQ"" folds",2022-05-04T03:28:29.436Z,165163490943600
"""jean @ _qaxMUlwNf"" raises to 0.07",2022-05-04T03:28:28.439Z,165163490843900
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.02",2022-05-04T03:28:19.230Z,165163489923006
"""Vic @ 3awtGLkIPQ"" posts a small blind of 0.01",2022-05-04T03:28:19.230Z,165163489923005
"Your hand is Q♠, 7♦",2022-05-04T03:28:19.230Z,165163489923002
"Player stacks: #2 ""K Godel @ Di5cxDUTF9"" (7.17) | #3 ""jean @ _qaxMUlwNf"" (0.60) | #5 ""Vic @ 3awtGLkIPQ"" (4.40)",2022-05-04T03:28:19.230Z,165163489923001
"-- starting hand #156  (No Limit Texas Hold'em) (dealer: ""jean @ _qaxMUlwNf"") --",2022-05-04T03:28:19.230Z,165163489923000
"""K Godel @ Di5cxDUTF9"" shows a 3♦, A♦.",2022-05-04T03:28:16.437Z,165163489643700
"""jean @ _qaxMUlwNf"" shows a 8♦, 10♣.",2022-05-04T03:28:16.387Z,165163489638700
"""Vic @ 3awtGLkIPQ"" shows a 2♣, 3♥.",2022-05-04T03:28:15.305Z,165163489530500
"-- ending hand #155 --",2022-05-04T03:28:14.153Z,165163489415302
"""Vic @ 3awtGLkIPQ"" collected 0.53 from pot",2022-05-04T03:28:14.153Z,165163489415301
"Uncalled bet of 0.39 returned to ""Vic @ 3awtGLkIPQ""",2022-05-04T03:28:14.153Z,165163489415300
"""K Godel @ Di5cxDUTF9"" folds",2022-05-04T03:28:13.265Z,165163489326500
"""Vic @ 3awtGLkIPQ"" bets 0.39",2022-05-04T03:28:10.159Z,165163489015900
"River: 5♦, 6♦, 5♣, 4♠ [Q♠]",2022-05-04T03:28:04.714Z,165163488471400
"""K Godel @ Di5cxDUTF9"" calls 0.13",2022-05-04T03:28:03.842Z,165163488384200
"""Vic @ 3awtGLkIPQ"" bets 0.13",2022-05-04T03:27:58.089Z,165163487808900
"Turn: 5♦, 6♦, 5♣ [4♠]",2022-05-04T03:27:50.791Z,165163487079100
"""Vic @ 3awtGLkIPQ"" calls 0.09",2022-05-04T03:27:49.966Z,165163486996600
"""K Godel @ Di5cxDUTF9"" bets 0.09",2022-05-04T03:27:42.616Z,165163486261600
"""Vic @ 3awtGLkIPQ"" checks",2022-05-04T03:27:37.564Z,165163485756400
"Flop:  [5♦, 6♦, 5♣]",2022-05-04T03:27:33.383Z,165163485338300
"""K Godel @ Di5cxDUTF9"" checks",2022-05-04T03:27:32.562Z,165163485256200
"""Vic @ 3awtGLkIPQ"" calls 0.04",2022-05-04T03:27:30.026Z,165163485002600
"""jean @ _qaxMUlwNf"" folds",2022-05-04T03:27:29.060Z,165163484906000
"""K Godel @ Di5cxDUTF9"" posts a straddle of 0.04",2022-05-04T03:27:24.889Z,165163484488907
"""Vic @ 3awtGLkIPQ"" posts a big blind of 0.02",2022-05-04T03:27:24.889Z,165163484488906
"""jean @ _qaxMUlwNf"" posts a small blind of 0.01",2022-05-04T03:27:24.889Z,165163484488905
"Your hand is 3♦, A♦",2022-05-04T03:27:24.889Z,165163484488902
"Player stacks: #2 ""K Godel @ Di5cxDUTF9"" (7.43) | #3 ""jean @ _qaxMUlwNf"" (0.61) | #5 ""Vic @ 3awtGLkIPQ"" (4.13)",2022-05-04T03:27:24.889Z,165163484488901
"-- starting hand #155  (No Limit Texas Hold'em) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-05-04T03:27:24.889Z,165163484488900
"""Vic @ 3awtGLkIPQ"" shows a 6♦, K♠.",2022-05-04T03:27:20.032Z,165163484003200
"""jean @ _qaxMUlwNf"" shows a 9♠, A♠.",2022-05-04T03:27:19.845Z,165163483984500
"-- ending hand #154 --",2022-05-04T03:27:17.486Z,165163483748602
"""jean @ _qaxMUlwNf"" collected 0.12 from pot",2022-05-04T03:27:17.486Z,165163483748601
"Uncalled bet of 0.12 returned to ""jean @ _qaxMUlwNf""",2022-05-04T03:27:17.486Z,165163483748600
"""K Godel @ Di5cxDUTF9"" folds",2022-05-04T03:27:16.616Z,165163483661600
"""jean @ _qaxMUlwNf"" raises to 0.18",2022-05-04T03:27:13.925Z,165163483392500
"""K Godel @ Di5cxDUTF9"" raises to 0.06",2022-05-04T03:27:06.811Z,165163482681100
"""Vic @ 3awtGLkIPQ"" folds",2022-05-04T03:27:03.201Z,165163482320100
"""jean @ _qaxMUlwNf"" posts a big blind of 0.02",2022-05-04T03:26:56.280Z,165163481628007
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.01",2022-05-04T03:26:56.280Z,165163481628006
"Your hand is 6♥, Q♣",2022-05-04T03:26:56.280Z,165163481628003
"Player stacks: #2 ""K Godel @ Di5cxDUTF9"" (7.49) | #3 ""jean @ _qaxMUlwNf"" (0.55) | #5 ""Vic @ 3awtGLkIPQ"" (4.13)",2022-05-04T03:26:56.280Z,165163481628002
"-- starting hand #154  (No Limit Texas Hold'em) (dead button) --",2022-05-04T03:26:56.280Z,165163481628001
"The player ""Poindexter @ _yf6aQFJyI"" quits the game with a stack of 0.00.",2022-05-04T03:26:56.280Z,165163481628000
"""jean @ _qaxMUlwNf"" shows a 6♥, 2♣.",2022-05-04T03:26:47.687Z,165163480768700
"-- ending hand #153 --",2022-05-04T03:26:45.075Z,165163480507502
"""Vic @ 3awtGLkIPQ"" collected 0.13 from pot with Pair, K's on the second run  (combination: K♦, K♣, A♠, Q♣, 10♥)",2022-05-04T03:26:45.075Z,165163480507501
"""Vic @ 3awtGLkIPQ"" collected 0.13 from pot with Pair, 10's (combination: 10♥, 10♦, A♠, K♦, Q♣)",2022-05-04T03:26:45.075Z,165163480507500
"River (second run): 9♣, 10♥, A♠, K♣ [8♣]",2022-05-04T03:26:41.064Z,165163480106400
