entry,at,order
"The player ""lynn @ qRLMfzBQ8s"" quits the game with a stack of 75.15.",2022-11-12T08:36:15.214Z,166824217521401
"The player ""K Godel @ TN11URmFSv"" stand up with the stack of 38.12.",2022-11-12T08:36:15.214Z,166824217521400
"""K Godel @ TN11URmFSv"" shows a K♥, K♦, J♥, 10♣.",2022-11-12T08:36:13.092Z,166824217309200
"-- ending hand #122 --",2022-11-12T08:36:08.614Z,166824216861402
"""Jean @ QLHzuQRo1C"" collected 4.00 from pot with Straight (combination: K♣, Q♣, J♣, 10♠, 9♠)",2022-11-12T08:36:08.614Z,166824216861401
"""Jean @ QLHzuQRo1C"" shows a 10♠, J♠, 9♠, 10♥.",2022-11-12T08:36:08.614Z,166824216861400
"""K Godel @ TN11URmFSv"" calls 1.00",2022-11-12T08:36:07.801Z,166824216780100
"""Jean @ QLHzuQRo1C"" bets 1.00",2022-11-12T08:36:05.952Z,166824216595200
"""K Godel @ TN11URmFSv"" checks",2022-11-12T08:36:00.061Z,166824216006100
"River: 6♣, Q♣, J♣, K♣ [3♥]",2022-11-12T08:35:58.005Z,166824215800500
"""K Godel @ TN11URmFSv"" calls 0.50",2022-11-12T08:35:57.112Z,166824215711200
"""Jean @ QLHzuQRo1C"" bets 0.50",2022-11-12T08:35:54.693Z,166824215469300
"""K Godel @ TN11URmFSv"" checks",2022-11-12T08:35:49.229Z,166824214922900
"Turn: 6♣, Q♣, J♣ [K♣]",2022-11-12T08:35:45.998Z,166824214599800
"""Jean @ QLHzuQRo1C"" checks",2022-11-12T08:35:45.173Z,166824214517300
"""K Godel @ TN11URmFSv"" checks",2022-11-12T08:35:42.473Z,166824214247300
"Flop:  [6♣, Q♣, J♣]",2022-11-12T08:35:40.284Z,166824214028400
"""K Godel @ TN11URmFSv"" calls 0.50",2022-11-12T08:35:39.397Z,166824213939700
"""Jean @ QLHzuQRo1C"" raises to 0.50",2022-11-12T08:35:34.566Z,166824213456600
"""K Godel @ TN11URmFSv"" posts a big blind of 0.25",2022-11-12T08:35:24.383Z,166824212438308
"""Jean @ QLHzuQRo1C"" posts a small blind of 0.10",2022-11-12T08:35:24.383Z,166824212438307
"Your hand is K♥, K♦, J♥, 10♣",2022-11-12T08:35:24.383Z,166824212438306
"Player stacks: #2 ""Jean @ QLHzuQRo1C"" (20.58) | #3 ""K Godel @ TN11URmFSv"" (40.12)",2022-11-12T08:35:24.383Z,166824212438304
"-- starting hand #122  (Pot Limit Omaha Hi) (dealer: ""Jean @ QLHzuQRo1C"") --",2022-11-12T08:35:24.383Z,166824212438303
"The player ""Malarkey @ Ia-cNlUwV8"" stand up with the stack of 31.07.",2022-11-12T08:35:24.383Z,166824212438302
"The player ""lynn @ qRLMfzBQ8s"" stand up with the stack of 75.15.",2022-11-12T08:35:24.383Z,166824212438301
"The player ""Deckhole @ 3URETjsK60"" stand up with the stack of 30.58.",2022-11-12T08:35:24.383Z,166824212438300
"-- ending hand #121 --",2022-11-12T08:35:21.478Z,166824212147802
"""K Godel @ TN11URmFSv"" collected 0.20 from pot",2022-11-12T08:35:21.478Z,166824212147801
"Uncalled bet of 0.15 returned to ""K Godel @ TN11URmFSv""",2022-11-12T08:35:21.478Z,166824212147800
"""Jean @ QLHzuQRo1C"" folds",2022-11-12T08:35:20.659Z,166824212065900
"""Deckhole @ 3URETjsK60"" folds",2022-11-12T08:35:18.449Z,166824211844900
"""Malarkey @ Ia-cNlUwV8"" folds",2022-11-12T08:35:13.512Z,166824211351200
"""lynn @ qRLMfzBQ8s"" folds",2022-11-12T08:35:09.133Z,166824210913300
"""K Godel @ TN11URmFSv"" posts a big blind of 0.25",2022-11-12T08:35:07.366Z,166824210736608
"""Jean @ QLHzuQRo1C"" posts a small blind of 0.10",2022-11-12T08:35:07.366Z,166824210736607
"Your hand is Q♠, Q♣, 10♦, A♠",2022-11-12T08:35:07.366Z,166824210736604
"Player stacks: #1 ""Deckhole @ 3URETjsK60"" (30.58) | #2 ""Jean @ QLHzuQRo1C"" (20.68) | #3 ""K Godel @ TN11URmFSv"" (40.02) | #9 ""lynn @ qRLMfzBQ8s"" (75.15) | #10 ""Malarkey @ Ia-cNlUwV8"" (31.07)",2022-11-12T08:35:07.366Z,166824210736601
"-- starting hand #121  (Pot Limit Omaha Hi) (dealer: ""Deckhole @ 3URETjsK60"") --",2022-11-12T08:35:07.366Z,166824210736600
"-- ending hand #120 --",2022-11-12T08:35:01.462Z,166824210146202
"""Malarkey @ Ia-cNlUwV8"" collected 11.60 from pot",2022-11-12T08:35:01.462Z,166824210146201
"Uncalled bet of 5.80 returned to ""Malarkey @ Ia-cNlUwV8""",2022-11-12T08:35:01.462Z,166824210146200
"""lynn @ qRLMfzBQ8s"" folds",2022-11-12T08:35:00.594Z,166824210059400
"""K Godel @ TN11URmFSv"" folds",2022-11-12T08:34:51.163Z,166824209116300
"""Malarkey @ Ia-cNlUwV8"" bets 5.80",2022-11-12T08:34:47.278Z,166824208727800
"""lynn @ qRLMfzBQ8s"" checks",2022-11-12T08:34:38.591Z,166824207859100
"""K Godel @ TN11URmFSv"" checks",2022-11-12T08:34:31.083Z,166824207108300
"Flop:  [A♠, 6♦, 2♣]",2022-11-12T08:34:23.045Z,166824206304500
"""lynn @ qRLMfzBQ8s"" calls 3.75",2022-11-12T08:34:22.163Z,166824206216300
"""K Godel @ TN11URmFSv"" calls 3.75",2022-11-12T08:34:19.519Z,166824205951900
"""Jean @ QLHzuQRo1C"" folds",2022-11-12T08:34:07.941Z,166824204794100
"""Deckhole @ 3URETjsK60"" folds",2022-11-12T08:34:06.978Z,166824204697800
"""Malarkey @ Ia-cNlUwV8"" raises to 3.75",2022-11-12T08:33:58.973Z,166824203897300
"""lynn @ qRLMfzBQ8s"" calls 0.85",2022-11-12T08:33:53.410Z,166824203341000
"""K Godel @ TN11URmFSv"" raises to 0.85",2022-11-12T08:33:51.567Z,166824203156700
"""Jean @ QLHzuQRo1C"" posts a big blind of 0.25",2022-11-12T08:33:31.615Z,166824201161508
"""Deckhole @ 3URETjsK60"" posts a small blind of 0.10",2022-11-12T08:33:31.615Z,166824201161507
"Your hand is 6♥, 7♠, 10♣, 9♥",2022-11-12T08:33:31.615Z,166824201161504
"Player stacks: #1 ""Deckhole @ 3URETjsK60"" (30.68) | #2 ""Jean @ QLHzuQRo1C"" (20.93) | #3 ""K Godel @ TN11URmFSv"" (43.77) | #9 ""lynn @ qRLMfzBQ8s"" (78.90) | #10 ""Malarkey @ Ia-cNlUwV8"" (23.22)",2022-11-12T08:33:31.615Z,166824201161501
"-- starting hand #120  (Pot Limit Omaha Hi) (dealer: ""Malarkey @ Ia-cNlUwV8"") --",2022-11-12T08:33:31.615Z,166824201161500
"-- ending hand #119 --",2022-11-12T08:33:25.688Z,166824200568802
"""Jean @ QLHzuQRo1C"" collected 4.05 from pot",2022-11-12T08:33:25.688Z,166824200568801
"Uncalled bet of 2.02 returned to ""Jean @ QLHzuQRo1C""",2022-11-12T08:33:25.688Z,166824200568800
"""Malarkey @ Ia-cNlUwV8"" folds",2022-11-12T08:33:24.851Z,166824200485100
"""Jean @ QLHzuQRo1C"" bets 2.02",2022-11-12T08:33:23.277Z,166824200327700
"""Malarkey @ Ia-cNlUwV8"" checks",2022-11-12T08:33:17.726Z,166824199772600
"Flop:  [8♣, 9♦, 5♣]",2022-11-12T08:33:08.673Z,166824198867300
"""Jean @ QLHzuQRo1C"" calls 1.90",2022-11-12T08:33:07.754Z,166824198775400
"""Deckhole @ 3URETjsK60"" folds",2022-11-12T08:33:06.807Z,166824198680700
"""Malarkey @ Ia-cNlUwV8"" raises to 1.90",2022-11-12T08:32:32.113Z,166824195211300
"""lynn @ qRLMfzBQ8s"" folds",2022-11-12T08:32:27.223Z,166824194722300
"""K Godel @ TN11URmFSv"" folds",2022-11-12T08:32:24.520Z,166824194452000
