entry,at,order
"-- ending hand #300 --",2021-02-28T08:22:32.376Z,161450055237903
"""Deckhole @ hqlKQ6Qj8d"" shows a 3♣, 8♣, 6♠, A♠.",2021-02-28T08:22:32.376Z,161450055237902
"""LLATFFEJ @ WtMwiUnkT6"" collected 13.03 from pot with Two Pair (combination: 9♥, 9♦, 4♥, 4♠, K♥)",2021-02-28T08:22:32.376Z,161450055237901
"""LLATFFEJ @ WtMwiUnkT6"" shows a 6♦, 8♠, 4♥, 4♠.",2021-02-28T08:22:32.376Z,161450055237900
"""LLATFFEJ @ WtMwiUnkT6"" checks",2021-02-28T08:22:31.567Z,161450055156800
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-02-28T08:22:22.548Z,161450054254900
"River: 9♥, 3♠, 10♠, 9♦ [K♥]",2021-02-28T08:22:19.898Z,161450053990200
"""Deckhole @ hqlKQ6Qj8d"" calls 3.15",2021-02-28T08:22:19.091Z,161450053909200
"""LLATFFEJ @ WtMwiUnkT6"" bets 3.15",2021-02-28T08:22:17.226Z,161450053722700
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-02-28T08:22:07.307Z,161450052730900
"Turn: 9♥, 3♠, 10♠ [9♦]",2021-02-28T08:22:04.142Z,161450052414500
"""Deckhole @ hqlKQ6Qj8d"" calls 2.24",2021-02-28T08:22:03.332Z,161450052333300
"""LLATFFEJ @ WtMwiUnkT6"" raises to 2.24",2021-02-28T08:22:01.301Z,161450052130200
"""Deckhole @ hqlKQ6Qj8d"" bets 1.12",2021-02-28T08:21:53.515Z,161450051351600
"Flop:  [9♥, 3♠, 10♠]",2021-02-28T08:21:48.285Z,161450050828700
"""LLATFFEJ @ WtMwiUnkT6"" calls 1.00",2021-02-28T08:21:47.476Z,161450050747700
"""K. Godel @ TN11URmFSv"" folds",2021-02-28T08:21:46.597Z,161450050659800
"""Deckhole @ hqlKQ6Qj8d"" raises to 1.00",2021-02-28T08:21:42.787Z,161450050278800
"""LLATFFEJ @ WtMwiUnkT6"" calls 0.25",2021-02-28T08:21:38.252Z,161450049825300
"The admin ""Deckhole @ hqlKQ6Qj8d"" enqueued the game stop on next hand.",2021-02-28T08:21:35.620Z,161450049562100
"""K. Godel @ TN11URmFSv"" posts a big blind of 0.25",2021-02-28T08:21:33.740Z,161450049374106
"""Deckhole @ hqlKQ6Qj8d"" posts a small blind of 0.10",2021-02-28T08:21:33.740Z,161450049374105
"Your hand is 4♦, 6♣, J♦, 2♠",2021-02-28T08:21:33.740Z,161450049374104
"Player stacks: #1 ""LLATFFEJ @ WtMwiUnkT6"" (27.09) | #4 ""Deckhole @ hqlKQ6Qj8d"" (252.41) | #5 ""K. Godel @ TN11URmFSv"" (92.12)",2021-02-28T08:21:33.740Z,161450049374101
"-- starting hand #300  (Pot Limit Omaha Hi) (dealer: ""LLATFFEJ @ WtMwiUnkT6"") --",2021-02-28T08:21:33.740Z,161450049374100
"-- ending hand #299 --",2021-02-28T08:21:27.815Z,161450048781602
"""Deckhole @ hqlKQ6Qj8d"" collected 2.55 from pot",2021-02-28T08:21:27.815Z,161450048781601
"Uncalled bet of 1.27 returned to ""Deckhole @ hqlKQ6Qj8d""",2021-02-28T08:21:27.815Z,161450048781600
"""LLATFFEJ @ WtMwiUnkT6"" folds",2021-02-28T08:21:27.006Z,161450048700700
"""K. Godel @ TN11URmFSv"" folds",2021-02-28T08:21:26.126Z,161450048612700
"""Deckhole @ hqlKQ6Qj8d"" bets 1.27",2021-02-28T08:21:12.156Z,161450047215700
"""LLATFFEJ @ WtMwiUnkT6"" checks",2021-02-28T08:21:08.673Z,161450046867400
"Turn: 2♥, Q♣, 5♦ [7♥]",2021-02-28T08:21:05.739Z,161450046574100
"""K. Godel @ TN11URmFSv"" checks",2021-02-28T08:21:04.930Z,161450046493100
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-02-28T08:21:03.669Z,161450046367000
"""LLATFFEJ @ WtMwiUnkT6"" checks",2021-02-28T08:20:56.680Z,161450045668100
"The admin ""Deckhole @ hqlKQ6Qj8d"" canceled the game stop on next hand.",2021-02-28T08:20:55.119Z,161450045512200
"Flop:  [2♥, Q♣, 5♦]",2021-02-28T08:20:50.335Z,161450045033700
"""Deckhole @ hqlKQ6Qj8d"" calls 0.85",2021-02-28T08:20:49.525Z,161450044952600
"The admin ""Deckhole @ hqlKQ6Qj8d"" enqueued the game stop on next hand.",2021-02-28T08:20:41.724Z,161450044172500
"""LLATFFEJ @ WtMwiUnkT6"" calls 0.85",2021-02-28T08:20:36.792Z,161450043679300
"""K. Godel @ TN11URmFSv"" raises to 0.85",2021-02-28T08:20:34.783Z,161450043478400
"The admin ""Deckhole @ hqlKQ6Qj8d"" canceled the game stop on next hand.",2021-02-28T08:20:34.277Z,161450043427800
"The admin ""Deckhole @ hqlKQ6Qj8d"" enqueued the game stop on next hand.",2021-02-28T08:20:17.669Z,161450041767000
"""Deckhole @ hqlKQ6Qj8d"" posts a big blind of 0.25",2021-02-28T08:20:15.255Z,161450041526109
"""LLATFFEJ @ WtMwiUnkT6"" posts a small blind of 0.10",2021-02-28T08:20:15.255Z,161450041526108
"Your hand is K♦, A♣, K♠, 5♣",2021-02-28T08:20:15.255Z,161450041526107
"Player stacks: #1 ""LLATFFEJ @ WtMwiUnkT6"" (27.94) | #4 ""Deckhole @ hqlKQ6Qj8d"" (250.71) | #5 ""K. Godel @ TN11URmFSv"" (92.97)",2021-02-28T08:20:15.255Z,161450041526104
"The player ""K. Godel @ TN11URmFSv"" joined the game with a stack of 92.97.",2021-02-28T08:20:15.255Z,161450041526103
"The player ""Deckhole @ hqlKQ6Qj8d"" joined the game with a stack of 250.71.",2021-02-28T08:20:15.255Z,161450041526102
"The player ""LLATFFEJ @ WtMwiUnkT6"" joined the game with a stack of 27.94.",2021-02-28T08:20:15.255Z,161450041526101
"-- starting hand #299  (Pot Limit Omaha Hi) (dealer: ""K. Godel @ TN11URmFSv"") --",2021-02-28T08:20:15.255Z,161450041526100
"The admin ""Deckhole @ hqlKQ6Qj8d"" enqueued the game stop on next hand.",2021-02-28T08:20:03.381Z,161450040338500
"-- ending hand #298 --",2021-02-28T08:20:02.974Z,161450040297502
"""K. Godel @ TN11URmFSv"" collected 8.40 from pot",2021-02-28T08:20:02.974Z,161450040297501
"Uncalled bet of 6.30 returned to ""K. Godel @ TN11URmFSv""",2021-02-28T08:20:02.974Z,161450040297500
"""LLATFFEJ @ WtMwiUnkT6"" folds",2021-02-28T08:20:02.166Z,161450040216700
"""K. Godel @ TN11URmFSv"" bets 6.30",2021-02-28T08:20:00.378Z,161450040038300
"""LLATFFEJ @ WtMwiUnkT6"" checks",2021-02-28T08:19:51.031Z,161450039103200
"River: 10♠, 7♥, 4♥, 6♣ [K♣]",2021-02-28T08:19:47.178Z,161450038718200
"""LLATFFEJ @ WtMwiUnkT6"" calls 2.10",2021-02-28T08:19:46.371Z,161450038637200
"""K. Godel @ TN11URmFSv"" bets 2.10",2021-02-28T08:19:43.287Z,161450038328800
"""LLATFFEJ @ WtMwiUnkT6"" checks",2021-02-28T08:19:36.580Z,161450037658100
"Turn: 10♠, 7♥, 4♥ [6♣]",2021-02-28T08:19:32.431Z,161450037243400
"""Deckhole @ hqlKQ6Qj8d"" folds",2021-02-28T08:19:31.622Z,161450037162300
"""LLATFFEJ @ WtMwiUnkT6"" calls 1.05",2021-02-28T08:19:27.470Z,161450036747100
"""K. Godel @ TN11URmFSv"" bets 1.05",2021-02-28T08:19:24.867Z,161450036486800
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-02-28T08:19:20.039Z,161450036004000
"""LLATFFEJ @ WtMwiUnkT6"" checks",2021-02-28T08:19:16.290Z,161450035629100
"Flop:  [10♠, 7♥, 4♥]",2021-02-28T08:19:02.505Z,161450034250700
"""Deckhole @ hqlKQ6Qj8d"" calls 0.70",2021-02-28T08:19:01.694Z,161450034169600
"""LLATFFEJ @ WtMwiUnkT6"" calls 0.70",2021-02-28T08:18:55.070Z,161450033507100
"""K. Godel @ TN11URmFSv"" raises to 0.70",2021-02-28T08:18:53.274Z,161450033327500
"""Deckhole @ hqlKQ6Qj8d"" posts a big blind of 0.25",2021-02-28T08:18:39.933Z,161450031993406
"""LLATFFEJ @ WtMwiUnkT6"" posts a small blind of 0.10",2021-02-28T08:18:39.933Z,161450031993405
"Your hand is 10♥, 8♦, Q♠, J♥",2021-02-28T08:18:39.933Z,161450031993404
