entry,at,order
"The player ""jean @ IR5E81bjnF"" quits the game with a stack of 8.55.",2022-02-21T04:30:42.394Z,164541784239400
"The admin ""K Godel @ Di5cxDUTF9"" enqueued the game stop on next hand.",2022-02-21T04:30:36.330Z,164541783633000
"""jean @ IR5E81bjnF"" shows a 6♥, 4♥.",2022-02-21T04:30:35.434Z,164541783543400
"""Ball & Order @ Z6cyGP68Zt"" shows a K♦, 8♥.",2022-02-21T04:30:34.992Z,164541783499200
"-- ending hand #150 --",2022-02-21T04:30:33.983Z,164541783398302
"""jean @ IR5E81bjnF"" collected 0.30 from pot",2022-02-21T04:30:33.983Z,164541783398301
"Uncalled bet of 0.30 returned to ""jean @ IR5E81bjnF""",2022-02-21T04:30:33.983Z,164541783398300
"""Ball & Order @ Z6cyGP68Zt"" folds",2022-02-21T04:30:33.035Z,164541783303500
"""jean @ IR5E81bjnF"" bets 0.30",2022-02-21T04:30:29.430Z,164541782943000
"""Ball & Order @ Z6cyGP68Zt"" checks",2022-02-21T04:30:23.427Z,164541782342700
"Turn: 4♦, 9♥, 4♣ [Q♠]",2022-02-21T04:30:20.380Z,164541782038000
"""Ball & Order @ Z6cyGP68Zt"" calls 0.10",2022-02-21T04:30:19.519Z,164541781951900
"""jean @ IR5E81bjnF"" bets 0.10",2022-02-21T04:30:11.655Z,164541781165500
"""Ball & Order @ Z6cyGP68Zt"" checks",2022-02-21T04:30:05.326Z,164541780532600
"Flop:  [4♦, 9♥, 4♣]",2022-02-21T04:29:56.314Z,164541779631400
"""jean @ IR5E81bjnF"" calls 0.05",2022-02-21T04:29:55.459Z,164541779545900
"""Ball & Order @ Z6cyGP68Zt"" raises to 0.05",2022-02-21T04:29:50.269Z,164541779026900
"""jean @ IR5E81bjnF"" calls 0.02",2022-02-21T04:29:41.053Z,164541778105300
"""Ball & Order @ Z6cyGP68Zt"" posts a big blind of 0.02",2022-02-21T04:29:33.758Z,164541777375805
"""jean @ IR5E81bjnF"" posts a small blind of 0.01",2022-02-21T04:29:33.758Z,164541777375804
"Player stacks: #2 ""Ball & Order @ Z6cyGP68Zt"" (8.49) | #7 ""jean @ IR5E81bjnF"" (8.40)",2022-02-21T04:29:33.758Z,164541777375801
"-- starting hand #150  (No Limit Texas Hold'em) (dealer: ""jean @ IR5E81bjnF"") --",2022-02-21T04:29:33.758Z,164541777375800
"""Ball & Order @ Z6cyGP68Zt"" shows a 5♥, 5♦.",2022-02-21T04:29:31.213Z,164541777121300
"""jean @ IR5E81bjnF"" shows a 7♣, 5♣.",2022-02-21T04:29:28.333Z,164541776833300
"-- ending hand #149 --",2022-02-21T04:29:26.409Z,164541776640902
"""Ball & Order @ Z6cyGP68Zt"" collected 0.04 from pot",2022-02-21T04:29:26.409Z,164541776640901
"Uncalled bet of 0.02 returned to ""Ball & Order @ Z6cyGP68Zt""",2022-02-21T04:29:26.409Z,164541776640900
"""jean @ IR5E81bjnF"" folds",2022-02-21T04:29:25.560Z,164541776556000
"""Ball & Order @ Z6cyGP68Zt"" raises to 0.04",2022-02-21T04:29:24.716Z,164541776471600
"""jean @ IR5E81bjnF"" posts a big blind of 0.02",2022-02-21T04:28:57.590Z,164541773759005
"""Ball & Order @ Z6cyGP68Zt"" posts a small blind of 0.01",2022-02-21T04:28:57.590Z,164541773759004
"Player stacks: #2 ""Ball & Order @ Z6cyGP68Zt"" (8.47) | #7 ""jean @ IR5E81bjnF"" (8.42)",2022-02-21T04:28:57.590Z,164541773759001
"-- starting hand #149  (No Limit Texas Hold'em) (dealer: ""Ball & Order @ Z6cyGP68Zt"") --",2022-02-21T04:28:57.590Z,164541773759000
"""jean @ IR5E81bjnF"" shows a 2♦, 8♥.",2022-02-21T04:28:55.935Z,164541773593500
"-- ending hand #148 --",2022-02-21T04:28:53.886Z,164541773388601
